schedule,time_day,dose_uM,effective_exposure,A2780Naive,total_A2780cis,total
Front-loaded,0.0,0.0,0.0,33.5,33.5,67.0
Front-loaded,0.1,1.47,0.1902906719543006,36.49514227116838,33.53677819317267,70.03192046434106
Front-loaded,0.2,1.47,0.3559483236140864,39.74522182285847,33.66200999766515,73.40723182052362
Front-loaded,0.3,1.47,0.5001616855807818,43.26988264959138,33.87458640208992,77.1444690516813
Front-loaded,0.4,1.47,0.6257067090756635,47.08998698786512,34.17404909144753,81.26403607931265
Front-loaded,0.5,1.47,0.7349999999980993,51.22764837500201,34.56055546899967,85.78820384400169
Front-loaded,0.6,1.47,0.8301453359750625,55.70625891128413,35.034851292968995,90.74111020425312
Front-loaded,0.7,1.47,0.9129741618048373,60.5505095108894,35.598249939557554,96.14875945044696
Front-loaded,0.8,1.47,0.9850808427882503,65.786401822016,36.25261743658855,102.03901925860455
Front-loaded,0.9,1.47,1.0478533545358621,71.4412503965358,37.00036251691572,108.44161291345154
Front-loaded,1.0,1.47,1.1024999999973082,77.5436735979709,37.84443102139641,115.38810461936731
Front-loaded,1.1,1.47,1.1500726679860382,84.12357165750278,38.78830404070128,122.91187569820406
Front-loaded,1.2,1.47,1.1914870809011349,91.2120902255665,39.83599922592766,131.04808945149415
Front-loaded,1.3,1.47,1.2275404213929493,98.84156772632382,40.992074721800805,139.83364244812464
Front-loaded,1.4,1.47,1.2589266772667982,107.04546480934785,42.26163518471931,149.30709999406716
Front-loaded,1.5,1.47,1.2862499999975232,115.85827421292932,43.65033934228979,159.5086135552191
Front-loaded,1.6,1.47,1.310036333991866,125.31540941247731,45.1644085323859,170.4798179448632
Front-loaded,1.7,1.47,1.3307435404493784,135.45307053153564,46.81063562916086,182.2637061606965
Front-loaded,1.8,1.47,1.348770210695243,146.30808614777786,48.5963937218419,194.90447986961976
Front-loaded,1.9,1.47,1.3644633386321225,157.91772983736317,50.52964386063614,208.44737369799932
Front-loaded,2.0,1.47,1.3781249999974403,170.31951057287094,52.618941123955395,222.93845169682632
Front-loaded,2.1,1.47,1.390018166994569,183.55093642623564,54.873438193965114,238.42437462020075
Front-loaded,2.2,1.47,1.4003717702232854,197.64925143078463,57.302885555086796,254.95213698587142
Front-loaded,2.3,1.47,1.409385105346181,212.65114592589032,59.91762735487774,272.568773280768
Front-loaded,2.4,1.47,1.4172316693145872,228.5924412419215,62.72859189155502,291.32103313347653
Front-loaded,2.5,1.47,1.4240624999972158,245.50775017753784,65.74727562078665,311.2550257983245
Front-loaded,2.6,1.47,1.4300090834960661,263.24784194150755,68.98575815046715,332.23360009197467
Front-loaded,2.7,1.47,1.435185885110519,280.6176962078714,72.45770204775569,353.0753982556271
Front-loaded,2.8,1.47,1.439692552672052,297.29511802685965,76.17887883756647,373.47399686442617
Front-loaded,2.9,1.47,1.4436158346563974,313.1773879753573,80.16651526512409,393.3439032404814
Front-loaded,3.0,1.47,1.4470312499978821,328.18186160309983,84.43936617512914,412.62122777822896
Front-loaded,3.1,1.4372027972027968,1.445758962319939,342.57113300958014,89.01753581623007,431.58866882581026
Front-loaded,3.2,1.4372027972027968,1.4446513715652234,356.04752611064646,93.92272013179071,449.97024624243716
Front-loaded,3.3,1.4372027972027968,1.4436871578097983,368.5789085459958,99.178692021042,467.75760056703774
Front-loaded,3.4,1.4372027972027968,1.4428477609818702,380.14642974616686,104.81121720705673,484.9576469532236
Front-loaded,3.5,1.4372027972027968,1.442117023600484,390.74291274732917,110.84819758604806,501.59111033337723
Front-loaded,3.6,1.4372027972027968,1.4414808797614935,400.37127304926145,117.3198213305084,517.6910943797699
Front-loaded,3.7,1.4372027972027968,1.4409270843841195,409.0430087564997,124.25871941156723,533.3017281680669
Front-loaded,3.8,1.4372027972027968,1.4404449775063934,416.77679137673493,131.70012795848157,548.4769193352165
Front-loaded,3.9,1.4372027972027968,1.440025279092418,423.59717480808223,139.6820555727515,563.2792303808337
Front-loaded,4.0,1.4372027972027968,1.439659910401715,429.5334309497155,148.24545435387003,577.7788853035855
Front-loaded,4.1,1.324125874125874,1.4247040944860982,437.60571576155576,157.42838558116387,595.0341013427196
Front-loaded,4.2,1.324125874125874,1.4116843005162043,445.0228351093202,167.26999517877363,612.2928302880939
Front-loaded,4.3,1.324125874125874,1.4003499115417115,451.80487082497643,177.8174078424994,629.6222786674758
Front-loaded,4.4,1.324125874125874,1.3904827528353432,457.9736256159929,189.1208123770857,647.0944379930786
Front-loaded,4.5,1.324125874125874,1.3818928922653726,463.55216087630964,201.23355577865888,664.7857166549686
Front-loaded,4.6,1.324125874125874,1.3744149843075357,468.5643965060556,214.2122184031159,682.7766149091715
Front-loaded,4.7,1.324125874125874,1.3679050873225465,473.0347676115067,228.11666475380105,701.1514323653078
Front-loaded,4.8,1.324125874125874,1.3622378928352217,476.9879327989684,243.01006358550086,719.9979963844693
Front-loaded,4.9,1.324125874125874,1.357304313481924,480.44852882449663,258.9588701358988,739.4073989603954
Front-loaded,5.0,1.324125874125874,1.3530093831968046,483.44096655194676,276.03276237833995,759.4737289302867
Front-loaded,5.1,1.2110489510489506,1.3346326852214336,489.95778285026637,294.2875499133512,784.2453327636176
Front-loaded,5.2,1.2110489510489506,1.3186348404474513,496.1386917133274,313.77660421987713,809.9152959332046
Front-loaded,5.3,1.2110489510489506,1.304707907667936,501.99507212386874,334.5694507560867,836.5645228799556
Front-loaded,5.4,1.2110489510489506,1.2925838084917392,507.5381500072698,356.73680698669966,864.2749569939695
Front-loaded,5.5,1.2110489510489506,1.28202916712444,512.7789248041123,380.3500749007056,893.1289997048179
Front-loaded,5.6,1.2110489510489506,1.2728408181367443,517.7281101599134,405.48073503562,923.2088451955333
Front-loaded,5.7,1.2110489510489506,1.2648418957497392,522.396087197224,432.19963483820976,954.5957220354338
Front-loaded,5.8,1.2110489510489506,1.257878429359964,526.7928689750838,460.57616559342557,987.3690345685095
Front-loaded,5.9,1.2110489510489506,1.251816379771813,530.9280748748156,490.67732414746314,1021.6053990222787
Front-loaded,6.0,1.2110489510489506,1.2465390590880592,534.8109137764874,522.5666583146365,1057.377572091124
Front-loaded,6.1,1.0979720279720278,1.2273071405977296,542.8351997884103,556.2644687027597,1099.09966849117
Front-loaded,6.2,1.0979720279720278,1.2105647831227127,550.6821068450516,591.77456223183,1142.4566690768816
Front-loaded,6.3,1.0979720279720278,1.1959897143919374,558.3517571733348,629.125775023932,1187.4775321972668
Front-loaded,6.4,1.0979720279720278,1.1833013800982874,565.8441279053005,668.3369271413629,1234.1810550466635
Front-loaded,6.5,1.0979720279720278,1.172255543531669,573.1590616715198,709.4154585774888,1282.5745202490086
Front-loaded,6.6,1.0979720279720278,1.162639584286531,580.2962823974974,752.3560942436217,1332.6523766411192
Front-loaded,6.7,1.0979720279720278,1.154268405549053,587.2554159046996,797.1395776776621,1384.3949935823616
Front-loaded,6.8,1.0979720279720278,1.1469808711836371,594.0360148758137,843.7315176072237,1437.7675324830375
Front-loaded,6.9,1.0979720279720278,1.1406367040367087,600.6375876925122,892.0813946881283,1492.7189823806405
Front-loaded,7.0,1.0979720279720278,1.135113785753034,607.0604258064435,939.2506295352412,1546.3110553416846
Front-loaded,7.1,0.9848951048951046,1.1156680621336093,618.0314153479811,982.4744025769122,1600.5058179248933
Front-loaded,7.2,0.9848951048951046,1.0987395764830141,628.8933745614424,1028.1047673137602,1656.9981418752027
Front-loaded,7.3,0.9848951048951046,1.0840024737641345,639.6362278703187,1075.858409867762,1715.4946377380807
Front-loaded,7.4,0.9848951048951046,1.071173080690858,650.2505617630471,1125.4586526871808,1775.709214450228
Front-loaded,7.5,0.9848951048951046,1.060004445324167,660.7276421183731,1176.6328752330455,1837.3605173514184
Front-loaded,7.6,0.9848951048951046,1.0502815835144428,671.0594369537678,1229.110959970615,1900.1703969243829
Front-loaded,7.7,0.9848951048951046,1.0418173406891351,681.2386420871543,1282.6246316330337,1963.8632737201879
Front-loaded,7.8,0.9848951048951046,1.0344487893296865,691.2587073627458,1336.9075640033507,2028.1662713660965
Front-loaded,7.9,0.9848951048951046,1.0280340927930405,701.1138612816195,1391.6961301297335,2092.809991411353
Front-loaded,8.0,0.9848951048951046,1.0224497751096882,710.7991321029414,1446.730671294748,2157.529803397689
Front-loaded,8.1,0.8718181818181815,1.002950600208454,726.3464866207979,1502.27804225311,2228.624528873908
Front-loaded,8.2,0.8718181818181815,0.985975582514349,741.7732466852123,1557.1112387885637,2298.884485473776
Front-loaded,8.3,0.8718181818181815,0.9711979712987621,757.0686616531052,1610.9959408119435,2368.0646024650487
Front-loaded,8.4,0.8718181818181815,0.9583333135308432,772.2232182846204,1663.7091737334883,2435.9323920181087
Front-loaded,8.5,0.8718181818181815,0.9471339784643542,787.22866010669,1715.0424050272427,2502.2710651339326
Front-loaded,8.6,0.8718181818181815,0.9373843910136674,802.0779873200966,1764.8042285634901,2566.8822158835865
Front-loaded,8.7,0.8718181818181815,0.9288968821665572,816.7654381345023,1812.8225684777572,2629.5880066122595
Front-loaded,8.8,0.8718181818181815,0.9215080765587161,831.2864529320543,1858.9463576612454,2690.2328105932997
Front-loaded,8.9,0.8718181818181815,0.9150757476747177,845.6376230910744,1903.0466701558514,2748.684293246926
Front-loaded,9.0,0.8718181818181815,0.9094760801414414,859.8166266306738,1945.0173101924875,2804.8339368231614
Front-loaded,9.1,0.7587412587412584,0.8899635424199204,879.1783527006321,1985.0171890060883,2864.19554170672
Front-loaded,9.2,0.7587412587412584,0.8729768917151175,898.407156750713,2022.3243572897397,2920.731514040453
Front-loaded,9.3,0.7587412587412584,0.8581891533755414,917.4969575687003,2056.8996643368178,2974.396621905518
Front-loaded,9.4,0.7587412587412584,0.8453156794341529,936.442862401802,2088.7290156005706,3025.171878002373
Front-loaded,9.5,0.7587412587412584,0.8341086694429043,955.24104909991,2117.8213949683645,3073.062444068274
Front-loaded,9.6,0.7587412587412584,0.8243524005821631,973.8886455888784,2144.206621060841,3118.095266649719
Front-loaded,9.7,0.7587412587412584,0.8158590752297419,992.3836097363744,2167.9329357484366,3160.3165454848113
Front-loaded,9.8,0.7587412587412584,0.8084652060598636,1010.7246122198153,2189.0645147680652,3199.7891269878805
Front-loaded,9.9,0.7587412587412584,0.802028469089032,1028.9109245292611,2207.678979210675,3236.5899037399367
Front-loaded,10.0,0.7587412587412584,0.796424964093241,1046.9423137639335,2223.864973898496,3270.807287662429
Front-loaded,10.1,0.6456643356643353,0.776909085666392,1068.845641710747,2237.794432532591,3306.640074243338
Front-loaded,10.2,0.6456643356643353,0.7599195267086842,1090.6087432086554,2249.156038558296,3339.7647817669513
Front-loaded,10.3,0.6456643356643353,0.7451292565879033,1112.2279398047242,2258.073654930817,3370.3015947355416
Front-loaded,10.4,0.6456643356643353,0.7322535786029606,1133.699930616228,2264.67570903362,3398.3756396498475
Front-loaded,10.5,0.6456643356643353,0.7210446498803538,1155.0217104417306,2269.0931542014478,3424.1148646431784
Front-loaded,10.6,0.6456643356643353,0.7112867106669021,1176.1904989187362,2271.457698277993,3447.6481971967296
Front-loaded,10.7,0.6456643356643353,0.7027919311879546,1197.2036803860415,2271.9002940419105,3469.1039744279524
Front-loaded,10.8,0.6456643356643353,0.6953967961272604,1218.057348781653,2271.227694121579,3489.2850429032324
Front-loaded,10.9,0.6456643356643353,0.6889589571346447,1238.7398123468886,2270.542769142587,3509.282581489476
Front-loaded,11.0,0.6456643356643353,0.6833544927731798,1259.2370581107373,2269.8584997238177,3529.0955578345547
Front-loaded,11.1,0.5325874125874123,0.6638377791700221,1281.4176993461376,2269.249400000926,3550.6670993470634
Front-loaded,11.2,0.5325874125874123,0.6468474931491088,1303.3775485586846,2268.6405449946833,3572.018093553368
Front-loaded,11.3,0.5325874125874123,0.6320565900830456,1325.1011472722012,2268.0319336690627,3593.133080941264
Front-loaded,11.4,0.5325874125874123,0.619180361087231,1346.5738588409697,2267.4235650213054,3613.9974238622754
Front-loaded,11.5,0.5325874125874123,0.6079709526818005,1367.781892584477,2266.8154380805313,3634.5973306650085
Front-loaded,11.6,0.5325874125874123,0.5982125958801842,1388.7123228279154,2266.2075519063455,3654.9198747342607
Front-loaded,11.7,0.5325874125874123,0.5897174528696288,1409.3531029488233,2265.599905587431,3674.953008536254
Front-loaded,11.8,0.5325874125874123,0.5823220013364587,1429.6930745696084,2264.992498240141,3694.685572809749
Front-loaded,11.9,0.5325874125874123,0.5758838868383894,1449.721972071061,2264.385329007098,3714.1073010781593
Front-loaded,12.0,0.5325874125874123,0.5702791826354999,1469.4304226331508,2263.7783970558044,3733.208819688955
Front-loaded,12.1,0.4195104895104892,0.5507622602382434,1490.388966659705,2263.212428154683,3753.601394814388
Front-loaded,12.2,0.4195104895104892,0.5337717924515096,1510.9878488569796,2262.646605224533,3773.6344540815126
Front-loaded,12.3,0.4195104895104892,0.518980731149108,1531.2182058309813,2262.0809283573276,3793.299134188309
Front-loaded,12.4,0.4195104895104892,0.5061043644005601,1551.0722076466132,2261.515397649263,3812.587605295876
Front-loaded,12.5,0.4195104895104892,0.4948948360744095,1570.5430390679046,2260.950013200212,3831.493052268117
Front-loaded,12.6,0.4195104895104892,0.48513637487575323,1589.6248767975196,2260.384775113191,3850.009651910711
Front-loaded,12.7,0.4195104895104892,0.47664114098229804,1608.3128631202142,2259.8196834938394,3868.132546614054
Front-loaded,12.8,0.4195104895104892,0.46924561033097006,1626.6030763573701,2259.2547384499176,3885.8578148072875
Front-loaded,12.9,0.4195104895104892,0.4628074269565455,1644.4924985374525,2258.68994009082,3903.1824386282724
Front-loaded,13.0,0.4195104895104892,0.45720266279330724,1661.9789806806846,2258.125288527109,3920.1042692077935
Front-loaded,13.1,0.3064335664335661,0.4376856881975162,1680.2714497932425,2257.5793514810125,3937.850801274255
Front-loaded,13.2,0.3064335664335661,0.42069517496931824,1698.1315746526625,2257.0335449817226,3955.1651196343855
Front-loaded,13.3,0.3064335664335661,0.40590407410782425,1715.5586799358848,2256.487869061584,3972.046548997469
Front-loaded,13.4,0.3064335664335661,0.393027672921086,1732.5529456392876,2255.9423237529477,3988.495269392235
Front-loaded,13.5,0.3064335664335661,0.3818181146147487,1749.1153600582086,2255.3969090880455,4004.5122691462543
Front-loaded,13.6,0.3064335664335661,0.372059627316847,1765.2476720466395,2254.851625098874,4020.0992971455134
Front-loaded,13.7,0.3064335664335661,0.3635643707026791,1780.9523429193903,2254.3064718170804,4035.2588147364704
Front-loaded,13.8,0.3064335664335661,0.3561688202718221,1796.232498330149,2253.761449273861,4049.99394760401
Front-loaded,13.9,0.3064335664335661,0.34973061967831764,1811.0918804293744,2253.216557499864,4064.3084379292386
