time,observed,predicted,fixed_day0_anchor,model,pooling_mode,context,cell_line,density,dose,mix,component
8.0,481.738503,578.5296063820246,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,20k,1.47,,total
9.0,333.6756173333333,488.4269314385333,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,20k,1.47,,total
10.0,232.34174399999998,417.9154706180322,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,20k,1.47,,total
11.0,155.3204476666667,361.918491956723,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,20k,1.47,,total
12.0,103.907562,316.6700942474703,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,20k,1.47,,total
13.0,71.52523133333334,279.4930096906449,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,20k,1.47,,total
14.0,36.60995366666666,248.48858837924212,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,20k,1.47,,total
0.0,100.0,100.0,true,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
1.0,507.5015816666667,226.14045990647833,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
2.0,801.887693,491.21406922781307,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
3.0,1336.278318,983.3370508861473,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
4.0,1623.1049383333336,1632.4131975268658,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
5.0,2076.8491126666668,2247.102710372843,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
6.0,2482.367592666667,2700.102341035732,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
7.0,2895.899845666667,2976.960939228439,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
8.0,2949.133024666667,3127.6066648405663,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
9.0,3220.295872,3204.598052339174,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
10.0,2758.7708333333335,3242.770429032081,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
11.0,3434.9652003333335,3261.449379456413,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
12.0,3115.501775,3270.547512164188,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
13.0,3633.6489583333337,3274.9762834011885,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
14.0,3423.783179,3277.1345499828412,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,0.67,,total
0.0,100.0,100.0,true,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
1.0,277.1990353333333,226.14045990647833,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
2.0,512.5472606666666,491.21406922781307,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
3.0,810.4685956666666,979.1302347932339,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
4.0,1072.5972223333333,1439.5281646330466,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
5.0,1220.3375386666667,1681.54168869404,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
6.0,1524.2378856666667,1778.0784119351838,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
7.0,1784.3173613333336,1807.137867927549,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
8.0,1754.768094,1810.437698523256,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
9.0,1630.9435183333335,1805.7149164625362,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
10.0,1765.6959490000002,1799.6055510591634,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
11.0,1797.057716,1794.2456600975277,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
12.0,1664.883989,1790.0953179551268,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
13.0,1869.5183256666667,1787.058046573749,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
14.0,2521.7536263333336,1784.8993516858052,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.0,,total
0.0,100.0,100.0,true,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
1.0,683.0949846666667,226.14045990647833,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
2.0,962.59946,491.21406922781307,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
3.0,1293.4153163333333,973.9357115508469,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
4.0,1242.3761956666667,1229.5507171598842,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
5.0,1196.6721066666667,1149.0456589007008,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
6.0,1151.6981093333334,980.7937633592989,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
7.0,908.6366510000001,824.7757760688797,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
8.0,684.2957563333333,699.8318477214794,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
9.0,451.471335,602.6664883025007,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
10.0,351.6421293333333,526.6749991322483,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
11.0,239.04888100000002,466.2617080830325,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
12.0,153.48256166666667,417.3337476468823,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
13.0,115.12735333333332,377.00175233280106,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
14.0,60.396604999999994,343.2258573898631,false,load_plus_context_amplitude,linked_global,monoculture,A2780Naive,30k,1.47,,total
