time,observed,predicted,fixed_day0_anchor,model,pooling_mode,density,mix,component
2.0,282.01500000000004,123.91866738597881,false,dual_constant_kill,shared,30k,50-50,sensitive
3.0,432.8383333333333,242.36183937305805,false,dual_constant_kill,shared,30k,50-50,sensitive
4.0,607.8166666666667,415.90539699143915,false,dual_constant_kill,shared,30k,50-50,sensitive
5.0,879.0050000000001,614.9845099334192,false,dual_constant_kill,shared,30k,50-50,sensitive
6.0,947.1116666666667,794.193809399197,false,dual_constant_kill,shared,30k,50-50,sensitive
7.0,1412.7849999999999,916.2957649409386,false,dual_constant_kill,shared,30k,50-50,sensitive
8.0,1018.185,969.5858150890327,false,dual_constant_kill,shared,30k,50-50,sensitive
9.0,1172.4866666666667,966.2265481115538,false,dual_constant_kill,shared,30k,50-50,sensitive
10.0,1294.5683333333334,927.7694058526064,false,dual_constant_kill,shared,30k,50-50,sensitive
11.0,1082.5033333333333,872.6849692332999,false,dual_constant_kill,shared,30k,50-50,sensitive
12.0,1456.9150000000002,812.4286180878379,false,dual_constant_kill,shared,30k,50-50,sensitive
13.0,1700.3266666666666,752.798288529831,false,dual_constant_kill,shared,30k,50-50,sensitive
14.0,1370.07,696.2898922410897,false,dual_constant_kill,shared,30k,50-50,sensitive
0.0,50.0,50.0,true,dual_constant_kill,shared,30k,50-50,resistant
1.0,53.36166666666666,56.57302108883124,false,dual_constant_kill,shared,30k,50-50,resistant
2.0,85.83833333333332,78.86364122874262,false,dual_constant_kill,shared,30k,50-50,resistant
3.0,136.93666666666667,127.36509131850715,false,dual_constant_kill,shared,30k,50-50,resistant
4.0,278.0416666666667,222.8186804327309,false,dual_constant_kill,shared,30k,50-50,resistant
5.0,439.5783333333333,394.40123264544474,false,dual_constant_kill,shared,30k,50-50,resistant
6.0,738.2216666666667,665.1008627379946,false,dual_constant_kill,shared,30k,50-50,resistant
7.0,1333.6733333333334,1024.327213101628,false,dual_constant_kill,shared,30k,50-50,resistant
8.0,1333.7316666666666,1416.4112817195607,false,dual_constant_kill,shared,30k,50-50,resistant
9.0,2235.375,1773.5764321561448,false,dual_constant_kill,shared,30k,50-50,resistant
10.0,2239.6666666666665,2060.0552658843085,false,dual_constant_kill,shared,30k,50-50,resistant
11.0,2711.556666666667,2277.6778782219076,false,dual_constant_kill,shared,30k,50-50,resistant
12.0,2136.7833333333333,2444.383605210434,false,dual_constant_kill,shared,30k,50-50,resistant
13.0,3352.3216666666667,2577.4503847325536,false,dual_constant_kill,shared,30k,50-50,resistant
14.0,2315.278333333333,2688.5448001995337,false,dual_constant_kill,shared,30k,50-50,resistant
0.0,75.0,75.0,true,dual_constant_kill,shared,30k,75-25,sensitive
1.0,218.08333333333334,95.3338772971832,false,dual_constant_kill,shared,30k,75-25,sensitive
2.0,356.52833333333336,178.1718733220942,false,dual_constant_kill,shared,30k,75-25,sensitive
3.0,545.945,334.0019837227197,false,dual_constant_kill,shared,30k,75-25,sensitive
4.0,755.7766666666666,549.0399683799644,false,dual_constant_kill,shared,30k,75-25,sensitive
5.0,1013.1566666666666,785.7457210534138,false,dual_constant_kill,shared,30k,75-25,sensitive
6.0,1191.6316666666664,999.2635009991129,false,dual_constant_kill,shared,30k,75-25,sensitive
7.0,1758.6866666666667,1157.177404119479,false,dual_constant_kill,shared,30k,75-25,sensitive
8.0,1400.4566666666667,1247.531947444567,false,dual_constant_kill,shared,30k,75-25,sensitive
9.0,1660.7133333333334,1275.4299169623437,false,dual_constant_kill,shared,30k,75-25,sensitive
10.0,2107.1266666666666,1255.300142932284,false,dual_constant_kill,shared,30k,75-25,sensitive
11.0,1744.1750000000002,1203.7463695440729,false,dual_constant_kill,shared,30k,75-25,sensitive
12.0,1827.7083333333333,1134.9921312680044,false,dual_constant_kill,shared,30k,75-25,sensitive
13.0,1923.9083333333335,1059.1662695810194,false,dual_constant_kill,shared,30k,75-25,sensitive
14.0,1647.07,982.5452107549451,false,dual_constant_kill,shared,30k,75-25,sensitive
0.0,25.0,25.0,true,dual_constant_kill,shared,30k,75-25,resistant
1.0,28.45,28.272989740374793,false,dual_constant_kill,shared,30k,75-25,resistant
2.0,45.685,39.307795700507164,false,dual_constant_kill,shared,30k,75-25,resistant
3.0,72.71833333333332,62.98155082944849,false,dual_constant_kill,shared,30k,75-25,resistant
4.0,127.53333333333332,108.66126443498935,false,dual_constant_kill,shared,30k,75-25,resistant
5.0,211.36,189.71734721098738,false,dual_constant_kill,shared,30k,75-25,resistant
6.0,311.8583333333333,319.8679615920967,false,dual_constant_kill,shared,30k,75-25,resistant
7.0,585.2883333333333,506.2927164406317,false,dual_constant_kill,shared,30k,75-25,resistant
8.0,720.1316666666667,743.194128100714,false,dual_constant_kill,shared,30k,75-25,resistant
9.0,1168.5216666666668,1011.2698262024855,false,dual_constant_kill,shared,30k,75-25,resistant
10.0,1358.1716666666664,1285.1127497242514,false,dual_constant_kill,shared,30k,75-25,resistant
11.0,1719.3033333333333,1543.5079092643753,false,dual_constant_kill,shared,30k,75-25,resistant
12.0,1458.7166666666665,1775.1228142125574,false,dual_constant_kill,shared,30k,75-25,resistant
13.0,2386.6633333333334,1977.572057457749,false,dual_constant_kill,shared,30k,75-25,resistant
14.0,1738.6666666666667,2153.424288348252,false,dual_constant_kill,shared,30k,75-25,resistant
0.0,16.75,16.75,true,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
1.0,99.62333333333333,25.794476736645397,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
2.0,151.64666666666665,62.3690009384211,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
3.0,256.715,151.22679550349542,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
4.0,308.39166666666665,310.8294649413028,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
5.0,458.41,527.463984150571,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
6.0,443.1983333333333,749.0295690532295,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
7.0,684.745,918.1401162460263,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
8.0,381.4466666666667,1010.2899825997803,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
9.0,434.4266666666667,1037.6778764147766,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
10.0,381.8066666666667,1026.2363658887796,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
11.0,827.9266666666667,996.9794656353624,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
12.0,564.2466666666667,961.8433108063194,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
13.0,1105.2716666666665,926.35757541675,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
14.0,404.80333333333334,892.7084447863571,false,dual_delayed_ramp_kill,shared,20k,25-75,sensitive
0.0,50.25,50.25,true,dual_delayed_ramp_kill,shared,20k,25-75,resistant
1.0,88.58666666666666,56.967665769464475,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
2.0,143.335,80.03325304469755,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
3.0,247.62666666666667,131.70466862770311,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
4.0,494.3083333333334,238.08508393798672,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
5.0,903.3716666666666,439.0301440898184,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
6.0,1360.0966666666666,766.2979631192998,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
7.0,2438.3766666666666,1195.6370346826538,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
8.0,1945.3233333333335,1632.5676971022149,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
9.0,3250.286666666667,1984.5022548015786,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
10.0,3135.64,2226.6603594964663,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
11.0,3987.5866666666666,2384.1354146296662,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
12.0,2308.2483333333334,2489.790193006835,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
13.0,3826.773333333333,2566.463493922078,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
14.0,2159.3716666666664,2626.8264076356736,false,dual_delayed_ramp_kill,shared,20k,25-75,resistant
0.0,33.5,33.5,true,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
1.0,154.28,50.59023299109963,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
2.0,285.20666666666665,116.07375284188431,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
3.0,425.075,259.21889279681267,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
4.0,562.615,485.7106860808941,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
5.0,850.4516666666667,758.7286432201754,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
6.0,932.2550000000001,1015.1118094051375,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
7.0,1392.045,1204.0303798675675,false,dual_delayed_ramp_kill,shared,20k,50-50,sensitive
