time,observed,pred_theta_logistic_hill_kill,pred_pkpd_inhibition,pred_lotka_volterra_hill_competition
3.0,139.58,NaN,NaN,NaN
3.0,296.48,NaN,NaN,NaN
3.0,181.3,NaN,NaN,NaN
3.0,282.34,NaN,NaN,NaN
3.0,425.08,NaN,NaN,NaN
3.0,432.84,NaN,NaN,NaN
3.0,470.73,NaN,NaN,NaN
3.0,375.42,NaN,NaN,NaN
3.0,435.14,NaN,NaN,NaN
3.0,358.28,NaN,NaN,NaN
3.0,414.78,NaN,NaN,NaN
3.0,496.1,NaN,NaN,NaN
3.0,433.88,NaN,NaN,NaN
3.0,616.73,NaN,NaN,NaN
3.0,382.79,NaN,NaN,NaN
3.0,314.28,NaN,NaN,NaN
3.0,417.07,NaN,NaN,NaN
3.0,432.28,NaN,NaN,NaN
3.0,141.96,NaN,NaN,NaN
3.0,136.94,NaN,NaN,NaN
3.0,117.85,NaN,NaN,NaN
3.0,137.34,NaN,NaN,NaN
3.0,166.49,NaN,NaN,NaN
3.0,134.9,NaN,NaN,NaN
3.0,109.99,NaN,NaN,NaN
3.0,185.18,NaN,NaN,NaN
3.0,166.8,NaN,NaN,NaN
3.0,186.38,NaN,NaN,NaN
3.0,112.61,NaN,NaN,NaN
3.0,98.43,NaN,NaN,NaN
3.0,132.48,NaN,NaN,NaN
3.0,124.92,NaN,NaN,NaN
3.0,575.9,NaN,NaN,NaN
3.0,545.95,NaN,NaN,NaN
3.0,321.1,NaN,NaN,NaN
3.0,810.65,NaN,NaN,NaN
3.0,339.83,NaN,NaN,NaN
3.0,624.21,NaN,NaN,NaN
3.0,460.73,NaN,NaN,NaN
3.0,898.9,NaN,NaN,NaN
3.0,456.46,NaN,NaN,NaN
3.0,844.47,NaN,NaN,NaN
3.0,433.16,NaN,NaN,NaN
3.0,456.48,NaN,NaN,NaN
3.0,430.35,NaN,NaN,NaN
3.0,654.75,NaN,NaN,NaN
3.0,64.44,NaN,NaN,NaN
3.0,72.72,NaN,NaN,NaN
3.0,45.33,NaN,NaN,NaN
3.0,125.57,NaN,NaN,NaN
3.0,46.34,NaN,NaN,NaN
3.0,54.45,NaN,NaN,NaN
3.0,39.03,NaN,NaN,NaN
3.0,75.93,NaN,NaN,NaN
3.0,55.87,NaN,NaN,NaN
3.0,120.95,NaN,NaN,NaN
3.0,47.97,NaN,NaN,NaN
3.0,57.86,NaN,NaN,NaN
3.0,64.33,NaN,NaN,NaN
3.0,89.33,NaN,NaN,NaN
4.0,494.31,NaN,NaN,NaN
4.0,269.67,NaN,NaN,NaN
4.0,128.0,NaN,NaN,NaN
4.0,308.39,NaN,NaN,NaN
4.0,562.62,NaN,NaN,NaN
4.0,750.96,NaN,NaN,NaN
4.0,490.8,NaN,NaN,NaN
4.0,278.04,NaN,NaN,NaN
4.0,127.53,NaN,NaN,NaN
4.0,304.33,NaN,NaN,NaN
4.0,607.82,NaN,NaN,NaN
4.0,755.78,NaN,NaN,NaN
4.0,471.08,NaN,NaN,NaN
4.0,653.1,NaN,NaN,NaN
4.0,225.69,NaN,NaN,NaN
4.0,566.29,NaN,NaN,NaN
4.0,466.64,NaN,NaN,NaN
4.0,583.05,NaN,NaN,NaN
4.0,193.85,NaN,NaN,NaN
4.0,245.25,NaN,NaN,NaN
4.0,350.56,NaN,NaN,NaN
4.0,266.88,NaN,NaN,NaN
4.0,226.95,NaN,NaN,NaN
4.0,334.55,NaN,NaN,NaN
4.0,78.21,NaN,NaN,NaN
4.0,186.29,NaN,NaN,NaN
4.0,121.67,NaN,NaN,NaN
4.0,161.99,NaN,NaN,NaN
4.0,81.58,NaN,NaN,NaN
4.0,138.27,NaN,NaN,NaN
4.0,255.08,NaN,NaN,NaN
4.0,480.87,NaN,NaN,NaN
4.0,146.53,NaN,NaN,NaN
4.0,332.5,NaN,NaN,NaN
4.0,267.49,NaN,NaN,NaN
4.0,367.88,NaN,NaN,NaN
4.0,595.34,NaN,NaN,NaN
4.0,458.45,NaN,NaN,NaN
4.0,563.84,NaN,NaN,NaN
4.0,485.69,NaN,NaN,NaN
4.0,590.18,NaN,NaN,NaN
4.0,682.19,NaN,NaN,NaN
4.0,387.51,NaN,NaN,NaN
4.0,1121.3,NaN,NaN,NaN
4.0,450.36,NaN,NaN,NaN
