Model,Time,Prediction
logistic_growth,1.5855855855855856,424.26817605032966
logistic_growth,1.5985985985985987,428.0989209652613
logistic_growth,1.6116116116116117,431.96015576078497
logistic_growth,1.6246246246246245,435.85204897214265
logistic_growth,1.6376376376376376,439.7747687067371
logistic_growth,1.6506506506506506,443.72848261368523
logistic_growth,1.6636636636636637,447.71335785295184
logistic_growth,1.6766766766766767,451.7295610640832
logistic_growth,1.6896896896896898,455.7772583344368
logistic_growth,1.7027027027027026,459.85661516699605
logistic_growth,1.7157157157157157,463.9677964476448
logistic_growth,1.7287287287287287,468.1109664121013
logistic_growth,1.7417417417417418,472.28628861230646
logistic_growth,1.7547547547547548,476.49392588247764
logistic_growth,1.7677677677677677,480.73404030459153
logistic_growth,1.7807807807807807,485.006793173433
logistic_growth,1.7937937937937938,489.31234496128593
logistic_growth,1.8068068068068068,493.65085528209823
logistic_growth,1.8198198198198199,498.0224828552704
logistic_growth,1.832832832832833,502.42738546888245
logistic_growth,1.8458458458458458,506.86571994261436
logistic_growth,1.8588588588588588,511.337642090129
logistic_growth,1.8718718718718719,515.8433066811501
logistic_growth,1.884884884884885,520.382867402966
logistic_growth,1.897897897897898,524.9564768215337
logistic_growth,1.9109109109109108,529.5642863422495
logistic_growth,1.9239239239239239,534.2064461702283
logistic_growth,1.936936936936937,538.8831052702106
logistic_growth,1.94994994994995,543.5944113259411
logistic_growth,1.962962962962963,548.3405106993001
logistic_growth,1.975975975975976,553.121548388917
logistic_growth,1.988988988988989,557.9376679885124
logistic_growth,2.002002002002002,562.7890116446697
logistic_growth,2.015015015015015,567.6757200143524
logistic_growth,2.028028028028028,572.5979322219906
logistic_growth,2.041041041041041,577.5557858162907
logistic_growth,2.054054054054054,582.5494167265367
logistic_growth,2.067067067067067,587.5789592185586
logistic_growth,2.08008008008008,592.6445458504419
logistic_growth,2.093093093093093,597.7463074278505
logistic_growth,2.106106106106106,602.8843729590034
logistic_growth,2.119119119119119,608.0588696092284
logistic_growth,2.1321321321321323,613.2699226553749
logistic_growth,2.145145145145145,618.5176554398104
logistic_growth,2.1581581581581584,623.8021893241842
logistic_growth,2.171171171171171,629.1236436427281
logistic_growth,2.184184184184184,634.4821356554877
logistic_growth,2.1971971971971973,639.8777805011664
logistic_growth,2.21021021021021,645.3106911498087
logistic_growth,2.2232232232232234,650.7809783550214
logistic_growth,2.2362362362362362,656.2887506061803
logistic_growth,2.249249249249249,661.8341140803022
logistic_growth,2.2622622622622623,667.4171725938108
logistic_growth,2.275275275275275,673.0380275538633
logistic_growth,2.2882882882882885,678.6967779097247
logistic_growth,2.3013013013013013,684.3935201038621
logistic_growth,2.314314314314314,690.1283480229818
logistic_growth,2.3273273273273274,695.9013529486677
logistic_growth,2.34034034034034,701.7126235081355
logistic_growth,2.3533533533533535,707.5622456247768
logistic_growth,2.3663663663663663,713.4503024686636
logistic_growth,2.3793793793793796,719.376874406741
logistic_growth,2.3923923923923924,725.3420389531877
logistic_growth,2.4054054054054053,731.3458707196667
logistic_growth,2.4184184184184185,737.3884413655054
logistic_growth,2.4314314314314314,743.4698195477283
logistic_growth,2.4444444444444446,749.5900708712516
logistic_growth,2.4574574574574575,755.749257839132
logistic_growth,2.4704704704704703,761.9474398026432
logistic_growth,2.4834834834834836,768.1846729114748
logistic_growth,2.4964964964964964,774.4610100640017
logistic_growth,2.5095095095095097,780.7765008578311
logistic_growth,2.5225225225225225,787.1311915400511
logistic_growth,2.5355355355355353,793.5251249578652
logistic_growth,2.5485485485485486,799.9583405093649
logistic_growth,2.5615615615615615,806.4308740944807
logistic_growth,2.5745745745745747,812.9427580658732
logistic_growth,2.5875875875875876,819.4940211802369
logistic_growth,2.6006006006006004,826.0846885499599
logistic_growth,2.6136136136136137,832.7147815946992
logistic_growth,2.6266266266266265,839.3843179933413
logistic_growth,2.6396396396396398,846.093311636348
logistic_growth,2.6526526526526526,852.8417725784716
logistic_growth,2.665665665665666,859.6297069914568
logistic_growth,2.6786786786786787,866.4571171173317
logistic_growth,2.6916916916916915,873.3240012222935
logistic_growth,2.704704704704705,880.2303535505655
logistic_growth,2.7177177177177176,887.1761642788053
logistic_growth,2.730730730730731,894.1614194711838
logistic_growth,2.7437437437437437,901.1861010348149
