stage,cell_line,density,time,sample_mean,sample_sd,n_wells,dose,mix,component
Stage 2,A2780cis,20k,5.0,1028.8575233333333,47.9647851339666,3,1.0,,
Stage 2,A2780cis,20k,5.0,932.248611,115.57468563282254,3,0.67,,
Stage 2,A2780cis,30k,5.0,1170.9108796666667,210.83800118172894,3,1.47,,
Stage 2,A2780cis,30k,5.0,1328.3501159999998,222.49135652152614,3,1.0,,
Stage 2,A2780cis,30k,5.0,1291.6760416666666,200.1666873098103,3,0.67,,
Stage 2,A2780Naive,20k,6.0,867.7298226666667,231.97138762150834,3,1.47,,
Stage 2,A2780Naive,20k,6.0,1188.2886573333333,79.62770018830504,3,1.0,,
Stage 2,A2780Naive,20k,6.0,1612.01223,114.63047893372915,3,0.67,,
Stage 2,A2780Naive,30k,6.0,1151.6981093333334,105.03981051137318,3,1.47,,
Stage 2,A2780Naive,30k,6.0,1524.2378856666667,160.79268293534432,3,1.0,,
Stage 2,A2780Naive,30k,6.0,2482.367592666667,414.4414107176517,3,0.67,,
Stage 2,A2780cis,20k,6.0,1644.4327546666666,135.56089187935305,3,1.47,,
Stage 2,A2780cis,20k,6.0,1728.4681713333332,70.8912977406735,3,1.0,,
Stage 2,A2780cis,20k,6.0,1630.1435956666667,213.06951033985627,3,0.67,,
Stage 2,A2780cis,30k,6.0,1348.3380016666667,169.91223953248263,3,1.47,,
Stage 2,A2780cis,30k,6.0,1947.6582176666668,352.9019610129053,3,1.0,,
Stage 2,A2780cis,30k,6.0,1980.2315586666666,230.81464627777532,3,0.67,,
Stage 2,A2780Naive,20k,7.0,681.9129633333333,202.19040843477424,3,1.47,,
Stage 2,A2780Naive,20k,7.0,1563.5381556666664,40.76974397895468,3,1.0,,
Stage 2,A2780Naive,20k,7.0,2016.4244216666668,298.0928324560366,3,0.67,,
Stage 2,A2780Naive,30k,7.0,908.6366510000001,84.68627583966448,3,1.47,,
