source_file,Day,Well,mean_value,n_tiles,n_channels
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,7,A5,1525.67,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,7,B2,1132.89,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,7,B5,1502.02,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,7,C2,1025.73,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,7,C5,1265.94,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,8,A2,1192.51,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,8,A5,1195.98,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,8,B2,1232.31,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,8,B5,1344.68,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,8,C2,1041.35,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,8,C5,951.63,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,9,A2,2186.31,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,9,A5,2338.93,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,9,B2,2158.75,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,9,B5,2666.06,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,9,C2,1633.02,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,9,C5,1866.16,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,10,A2,2473.31,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,10,A5,2615.98,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,10,B2,2335.18,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,10,B5,2726.83,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,10,C2,1777.8,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,10,C5,2062.31,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,11,A2,3189.72,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,11,A5,3536.23,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,11,B2,3122.0,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,11,B5,3935.72,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,11,C2,2937.44,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,11,C5,3193.65,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,12,A2,1887.6,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,12,A5,2459.1,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,12,B2,2862.58,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,12,B5,1700.97,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,12,C2,1353.14,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,12,C5,1371.34,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,13,A2,2999.52,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,13,A5,3297.68,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,13,B2,3202.26,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,13,B5,3469.21,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,13,C2,2390.29,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,13,C5,2868.09,3,1
measure_50-50A2780cisIC50tre1uM_5000Thres.csv,14,A2,2196.98,3,1
