stage,model,pooling_mode,density,parameter,effective_value,lower_bound,upper_bound,bound_position
coculture_treated,dual_transit_damage,shared,30k,onset,4.5250403115684416e-7,0.0,7.0,6.464343302240631e-8
coculture_treated,dual_transit_damage,shared,30k,clearance,1.2418720232704794,0.01,4.0,0.3087398554562605
coculture_treated,dual_transit_load_scaled,shared,20k,kill_sensitive,0.6188113850329487,0.0,4.0,0.1547028462582372
coculture_treated,dual_transit_load_scaled,shared,20k,kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14
coculture_treated,dual_transit_load_scaled,shared,20k,lambda,0.37665022061900055,0.01,5.0,0.07347699812004019
coculture_treated,dual_transit_load_scaled,shared,20k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_load_scaled,shared,20k,clearance,0.6301601263411168,0.01,4.0,0.15542860309301174
coculture_treated,dual_transit_load_scaled,shared,20k,beta_sensitive,-2.9999998181750747,-3.0,3.0,3.030415422304126e-8
coculture_treated,dual_transit_load_scaled,shared,20k,beta_resistant,-2.256039769073672,-3.0,3.0,0.12399337182105463
coculture_treated,dual_transit_load_scaled,shared,30k,kill_sensitive,0.6188113850329487,0.0,4.0,0.1547028462582372
coculture_treated,dual_transit_load_scaled,shared,30k,kill_resistant,3.7430491875357195e-13,0.0,4.0,9.357622968839299e-14
coculture_treated,dual_transit_load_scaled,shared,30k,lambda,0.37665022061900055,0.01,5.0,0.07347699812004019
coculture_treated,dual_transit_load_scaled,shared,30k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_load_scaled,shared,30k,clearance,0.6301601263411168,0.01,4.0,0.15542860309301174
coculture_treated,dual_transit_load_scaled,shared,30k,beta_sensitive,-2.9999998181750747,-3.0,3.0,3.030415422304126e-8
coculture_treated,dual_transit_load_scaled,shared,30k,beta_resistant,-2.256039769073672,-3.0,3.0,0.12399337182105463
coculture_treated,sensitive_tolerant_transition,shared,20k,kill_sensitive,0.46727049328964365,0.0,4.0,0.11681762332241091
coculture_treated,sensitive_tolerant_transition,shared,20k,kill_tolerant,0.03921884586787489,0.0,3.0,0.013072948622624965
coculture_treated,sensitive_tolerant_transition,shared,20k,kill_resistant,1.2942315584836928e-5,0.0,4.0,3.235578896209232e-6
coculture_treated,sensitive_tolerant_transition,shared,20k,lambda,4.047886105294525,0.01,5.0,0.809195612283472
coculture_treated,sensitive_tolerant_transition,shared,20k,onset,2.9490691923021775,0.0,7.0,0.42129559890031104
coculture_treated,sensitive_tolerant_transition,shared,20k,transition,0.032989379865250065,0.0,1.5,0.02199291991016671
coculture_treated,sensitive_tolerant_transition,shared,30k,kill_sensitive,0.46727049328964365,0.0,4.0,0.11681762332241091
coculture_treated,sensitive_tolerant_transition,shared,30k,kill_tolerant,0.03921884586787489,0.0,3.0,0.013072948622624965
coculture_treated,sensitive_tolerant_transition,shared,30k,kill_resistant,1.2942315584836928e-5,0.0,4.0,3.235578896209232e-6
coculture_treated,sensitive_tolerant_transition,shared,30k,lambda,4.047886105294525,0.01,5.0,0.809195612283472
coculture_treated,sensitive_tolerant_transition,shared,30k,onset,2.9490691923021775,0.0,7.0,0.42129559890031104
coculture_treated,sensitive_tolerant_transition,shared,30k,transition,0.032989379865250065,0.0,1.5,0.02199291991016671
coculture_treated,dual_constant_kill,partial_5pct,20k,kill_sensitive,0.19544984112150135,0.0,3.0,0.06514994704050045
coculture_treated,dual_constant_kill,partial_5pct,20k,kill_resistant,2.9476512268295833e-13,0.0,3.0,9.825504089431944e-14
coculture_treated,dual_constant_kill,partial_5pct,30k,kill_sensitive,0.17727876846209872,0.0,3.0,0.05909292282069958
coculture_treated,dual_constant_kill,partial_5pct,30k,kill_resistant,2.67360657010356e-13,0.0,3.0,8.9120219003452e-14
coculture_treated,dual_delayed_ramp_kill,partial_5pct,20k,kill_sensitive,0.19739367457963944,0.0,4.0,0.04934841864490986
coculture_treated,dual_delayed_ramp_kill,partial_5pct,20k,kill_resistant,3.9302016402974853e-13,0.0,4.0,9.825504100743713e-14
coculture_treated,dual_delayed_ramp_kill,partial_5pct,20k,lambda,4.999999999967813,0.01,5.0,0.9999999999935497
coculture_treated,dual_delayed_ramp_kill,partial_5pct,20k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_delayed_ramp_kill,partial_5pct,30k,kill_sensitive,0.17904188230758808,0.0,4.0,0.04476047057689702
coculture_treated,dual_delayed_ramp_kill,partial_5pct,30k,kill_resistant,3.5648087560340373e-13,0.0,4.0,8.912021890085093e-14
coculture_treated,dual_delayed_ramp_kill,partial_5pct,30k,lambda,4.999999999967813,0.01,5.0,0.9999999999935497
coculture_treated,dual_delayed_ramp_kill,partial_5pct,30k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_time_decay_kill,partial_5pct,20k,kill_sensitive,0.32967014675659984,0.0,4.0,0.08241753668914996
coculture_treated,dual_time_decay_kill,partial_5pct,20k,kill_resistant,3.9302016436400725e-13,0.0,4.0,9.825504109100181e-14
coculture_treated,dual_time_decay_kill,partial_5pct,20k,lambda,0.08401853006172758,0.0,5.0,0.016803706012345515
coculture_treated,dual_time_decay_kill,partial_5pct,30k,kill_sensitive,0.29902054177377885,0.0,4.0,0.07475513544344471
coculture_treated,dual_time_decay_kill,partial_5pct,30k,kill_resistant,3.5648087530022114e-13,0.0,4.0,8.912021882505528e-14
coculture_treated,dual_time_decay_kill,partial_5pct,30k,lambda,0.08401853006172758,0.0,5.0,0.016803706012345515
coculture_treated,dual_transit_competitor_scaled,partial_5pct,20k,kill_sensitive,0.3082169604791565,0.0,4.0,0.07705424011978912
coculture_treated,dual_transit_competitor_scaled,partial_5pct,20k,kill_resistant,3.9302015466907106e-13,0.0,4.0,9.825503866726777e-14
coculture_treated,dual_transit_competitor_scaled,partial_5pct,20k,lambda,4.999988545099586,0.01,5.0,0.9999977044287748
coculture_treated,dual_transit_competitor_scaled,partial_5pct,20k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_competitor_scaled,partial_5pct,20k,clearance,0.6038198403129291,0.01,4.0,0.14882702764735065
coculture_treated,dual_transit_competitor_scaled,partial_5pct,20k,beta_sensitive,-2.1988441146876996,-3.0,3.0,0.1335259808853834
coculture_treated,dual_transit_competitor_scaled,partial_5pct,20k,beta_resistant,2.999995049496995,-3.0,3.0,0.9999991749161659
coculture_treated,dual_transit_competitor_scaled,partial_5pct,30k,kill_sensitive,0.27956188317322567,0.0,4.0,0.06989047079330642
coculture_treated,dual_transit_competitor_scaled,partial_5pct,30k,kill_resistant,3.564808840938143e-13,0.0,4.0,8.912022102345357e-14
coculture_treated,dual_transit_competitor_scaled,partial_5pct,30k,lambda,4.999988545099586,0.01,5.0,0.9999977044287748
coculture_treated,dual_transit_competitor_scaled,partial_5pct,30k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_competitor_scaled,partial_5pct,30k,clearance,0.6038198403129291,0.01,4.0,0.14882702764735065
coculture_treated,dual_transit_competitor_scaled,partial_5pct,30k,beta_sensitive,-2.1988441146876996,-3.0,3.0,0.1335259808853834
coculture_treated,dual_transit_competitor_scaled,partial_5pct,30k,beta_resistant,2.999995049496995,-3.0,3.0,0.9999991749161659
coculture_treated,dual_transit_damage,partial_5pct,20k,kill_sensitive,0.23141180636477368,0.0,4.0,0.05785295159119342
coculture_treated,dual_transit_damage,partial_5pct,20k,kill_resistant,3.9302016234977e-13,0.0,4.0,9.82550405874425e-14
coculture_treated,dual_transit_damage,partial_5pct,20k,lambda,4.999999999999534,0.01,5.0,0.9999999999999065
coculture_treated,dual_transit_damage,partial_5pct,20k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_damage,partial_5pct,20k,clearance,0.8669977143618826,0.01,4.0,0.2147863945769129
coculture_treated,dual_transit_damage,partial_5pct,30k,kill_sensitive,0.20989733253706985,0.0,4.0,0.05247433313426746
coculture_treated,dual_transit_damage,partial_5pct,30k,kill_resistant,3.564808771271938e-13,0.0,4.0,8.912021928179845e-14
coculture_treated,dual_transit_damage,partial_5pct,30k,lambda,4.999999999999534,0.01,5.0,0.9999999999999065
coculture_treated,dual_transit_damage,partial_5pct,30k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_damage,partial_5pct,30k,clearance,0.8669977143618826,0.01,4.0,0.2147863945769129
coculture_treated,dual_transit_load_scaled,partial_5pct,20k,kill_sensitive,0.6261584849664475,0.0,4.0,0.1565396212416119
coculture_treated,dual_transit_load_scaled,partial_5pct,20k,kill_resistant,2.5248480576351955e-8,0.0,4.0,6.312120144087989e-9
coculture_treated,dual_transit_load_scaled,partial_5pct,20k,lambda,0.44645416399067145,0.01,5.0,0.08746576432678786
coculture_treated,dual_transit_load_scaled,partial_5pct,20k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_load_scaled,partial_5pct,20k,clearance,0.4860456636209255,0.01,4.0,0.11930969013055776
coculture_treated,dual_transit_load_scaled,partial_5pct,20k,beta_sensitive,-2.9999999999994387,-3.0,3.0,9.355479354174652e-14
coculture_treated,dual_transit_load_scaled,partial_5pct,20k,beta_resistant,-2.9999999999994387,-3.0,3.0,9.355479354174652e-14
coculture_treated,dual_transit_load_scaled,partial_5pct,30k,kill_sensitive,0.5679442058825561,0.0,4.0,0.14198605147063903
coculture_treated,dual_transit_load_scaled,partial_5pct,30k,kill_resistant,2.2901116242872187e-8,0.0,4.0,5.725279060718047e-9
coculture_treated,dual_transit_load_scaled,partial_5pct,30k,lambda,0.44645416399067145,0.01,5.0,0.08746576432678786
coculture_treated,dual_transit_load_scaled,partial_5pct,30k,onset,6.550336078187509e-13,0.0,7.0,9.357622968839299e-14
coculture_treated,dual_transit_load_scaled,partial_5pct,30k,clearance,0.4860456636209255,0.01,4.0,0.11930969013055776
coculture_treated,dual_transit_load_scaled,partial_5pct,30k,beta_sensitive,-2.9999999999994387,-3.0,3.0,9.355479354174652e-14
coculture_treated,dual_transit_load_scaled,partial_5pct,30k,beta_resistant,-2.9999999999994387,-3.0,3.0,9.355479354174652e-14
coculture_treated,sensitive_tolerant_transition,partial_5pct,20k,kill_sensitive,4.199987979363133,0.0,4.0,1.0499969948407832
coculture_treated,sensitive_tolerant_transition,partial_5pct,20k,kill_tolerant,0.3177480509377399,0.0,3.0,0.10591601697924663
coculture_treated,sensitive_tolerant_transition,partial_5pct,20k,kill_resistant,3.930190398454108e-13,0.0,4.0,9.82547599613527e-14
coculture_treated,sensitive_tolerant_transition,partial_5pct,20k,lambda,0.031372410472576225,0.01,5.0,0.004283048190897038
coculture_treated,sensitive_tolerant_transition,partial_5pct,20k,onset,1.1174662499920271,0.0,7.0,0.15963803571314675
coculture_treated,sensitive_tolerant_transition,partial_5pct,20k,transition,0.04735953930359625,0.0,1.5,0.0315730262023975
coculture_treated,sensitive_tolerant_transition,partial_5pct,30k,kill_sensitive,3.8095347126262906,0.0,4.0,0.9523836781565727
coculture_treated,sensitive_tolerant_transition,partial_5pct,30k,kill_tolerant,0.28820849865865983,0.0,3.0,0.09606949955288661
coculture_treated,sensitive_tolerant_transition,partial_5pct,30k,kill_resistant,3.564818952746573e-13,0.0,4.0,8.912047381866432e-14
coculture_treated,sensitive_tolerant_transition,partial_5pct,30k,lambda,0.031372410472576225,0.01,5.0,0.004283048190897038
coculture_treated,sensitive_tolerant_transition,partial_5pct,30k,onset,1.1174662499920271,0.0,7.0,0.15963803571314675
