time,count,source_file,component,density,mix,replicate
14.0,2031.46,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,3
14.0,1862.68,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,4
14.0,2319.64,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,5
14.0,2612.92,measure_25-75A2780cisIC50tre1uM_5000Thres_well_day_averages.csv,resistant,20k,25-75,6
1.0,80.19,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
1.0,126.76,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
1.0,58.52,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
1.0,108.82,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
1.0,99.5,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
1.0,123.95,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
2.0,92.46,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
2.0,211.48,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
2.0,80.04,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
2.0,174.55,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,4
2.0,166.78,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,5
2.0,184.57,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,6
3.0,185.07,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,1
3.0,367.81,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,2
3.0,109.17,measure_25-75A2780IC50tre1uM_2000Thres_well_day_averages.csv,sensitive,20k,25-75,3
