time,count,source_file,component,density,mix,replicate
2.0,44.66,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
2.0,63.47,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
2.0,33.37,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
3.0,89.53,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
3.0,110.59,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
3.0,55.39,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
4.0,169.59,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
4.0,209.71,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
4.0,109.11,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
5.0,317.23,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
5.0,376.58,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
5.0,255.41,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
6.0,450.25,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
6.0,343.55,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
6.0,344.67,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
7.0,591.18,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
7.0,517.79,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
7.0,495.73,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
8.0,888.56,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
8.0,701.39,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
8.0,711.31,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
9.0,1010.1,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
9.0,875.36,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
9.0,791.5,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
10.0,820.64,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
10.0,578.02,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
10.0,625.64,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
11.0,1134.32,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
11.0,929.55,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
11.0,960.43,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
12.0,741.26,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
12.0,469.74,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
12.0,645.8,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
13.0,1023.02,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
13.0,594.68,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
13.0,863.1,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
14.0,547.83,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,1
14.0,406.4,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,2
14.0,603.19,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,resistant,20k,50-50,3
1.0,23.15,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
1.0,23.48,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
1.0,11.66,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
2.0,64.96,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
2.0,67.9,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
2.0,32.99,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
3.0,161.42,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
3.0,179.05,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
3.0,92.2,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
4.0,454.9,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
4.0,501.3,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
4.0,259.07,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
5.0,1371.62,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
5.0,1320.35,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
5.0,883.62,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
6.0,1039.97,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
6.0,920.94,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
6.0,881.12,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
7.0,1988.47,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
7.0,1631.01,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
7.0,1474.84,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,3
8.0,2270.43,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,1
8.0,2056.1,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,sensitive,20k,50-50,2
