time,observed,predicted,fixed_day0_anchor,model,route,density,mix,component
5.0,1013.1566666666666,1256.0147839393019,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
6.0,1191.6316666666664,1232.6592311853838,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
7.0,1758.6866666666667,1157.1795772132843,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
8.0,1400.4566666666667,1075.8318510665151,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
9.0,1660.7133333333334,1005.425287657887,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
10.0,2107.1266666666666,949.5120755408752,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
11.0,1744.1750000000002,906.8777033565601,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
12.0,1827.7083333333333,875.0581932343624,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
13.0,1923.9083333333335,851.6047212897508,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
14.0,1647.07,834.4563568028541,false,stage2_direct_context_scaling,treatment_first,30k,75-25,sensitive
0.0,25.0,25.0,true,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
1.0,28.45,28.398163988766854,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
2.0,45.685,40.245633443096644,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
3.0,72.71833333333332,68.03973630601529,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
4.0,127.53333333333332,131.78556534072783,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
5.0,211.36,280.15167065582136,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
6.0,311.8583333333333,616.2919647747021,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
7.0,585.2883333333333,1012.2688354927304,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
8.0,720.1316666666667,1027.9413013977182,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
9.0,1168.5216666666668,1405.8991622675214,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
10.0,1358.1716666666664,1770.0245403606575,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
11.0,1719.3033333333333,2056.819784685098,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
12.0,1458.7166666666665,2249.8552089107134,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
13.0,2386.6633333333334,2367.8310567310077,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
14.0,1738.6666666666667,2437.2853535315317,false,stage2_direct_context_scaling,treatment_first,30k,75-25,resistant
0.0,16.75,16.75,true,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
1.0,99.62333333333333,37.17701581115383,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
2.0,151.64666666666665,127.67858988434354,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
3.0,256.715,381.9860310529068,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
4.0,308.39166666666665,739.5545926897264,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
5.0,458.41,1034.725026130227,false,stage2_plus_asymmetric_competition,treatment_first,20k,25-75,sensitive
