stage,condition,fit_scope,model,bic,sse,params,inherited
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 3-1,Run 1,logistic_with_lag,138.96518937635506,689769.2741542947,0.86887;2831.4;1.2516e-5,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 3-1,Run 1,logistic_with_delayed_death,141.4500652951503,689767.5077153437,0.86887;2831.4;5.2597e-7;5.6865,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 3-1,Run 1,logistic_with_smooth_delayed_death,143.9349745227774,689767.6558911622,0.86887;2831.4;1.4787e-12;10.506;5.0,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 20k 3-1,Run 1,transit_compartment_delayed_kill,143.93497481455586,689767.6726627765,0.89538;2917.7;0.026513;0.3535;0.10756,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 3-1,Run 1,logistic_with_delayed_death,105.77663336670646,8414.225283139354,3.7105;126.82;2.9999;3.7491,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 3-1,Run 1,logistic_with_smooth_delayed_death,109.10312338599658,8768.38887480207,4.0;120.63;3.0;3.7564;0.05,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 3-1,Run 1,logistic,119.5147659790596,30170.741408885537,4.0;49.793,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 3-1,Run 1,logistic_plus_loss,122.22281618017314,30170.741408908296,4.0;49.793;2.8073e-13,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 3-1,Run 1,logistic_with_lag,122.22281647721765,30170.742006378518,4.0;49.793;8.2688e-10,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 20k 3-1,Run 1,transit_compartment_delayed_kill,127.63891648111856,30170.74120523769,4.0;49.793;1.8871e-7;4.9999;4.11e-11,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 3-1,Run 1,logistic,188.8454706034998,6.927512261098558e6,1.2962;3093.3,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 3-1,Run 1,logistic_plus_loss,191.48452793311407,6.92751226109806e6,1.2969;3094.9;0.00068018,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 3-1,Run 1,logistic_with_lag,191.48453134979596,6.927513951748678e6,1.2962;3093.3;8.3184e-6,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 3-1,Run 1,logistic_with_delayed_death,194.12358526273078,6.92751226109879e6,1.2962;3093.3;1.5494e-12;3.7041,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 3-1,Run 1,transit_compartment_delayed_kill,196.76264239670152,6.927512164289525e6,1.3104;3127.0;0.014132;0.50434;0.1813,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780 30k 3-1,Run 1,logistic_with_smooth_delayed_death,196.76264259234566,6.927512261098598e6,1.2962;3093.3;2.8073e-13;8.8649;5.0,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 3-1,Run 1,logistic_with_delayed_death,126.13501001095962,32692.603812744608,3.7863;220.17;3.0;3.5075,none; direct low-resource fit
LR-1 monoculture/lineage,ALL A2780-cis LR data.xlsx — 1 - A2780cis 30k 3-1,Run 1,logistic_with_smooth_delayed_death,128.8430418683,32692.563832413172,3.7863;220.17;3.0;3.4934;0.05,none; direct low-resource fit
