time,observed,pred_null_coculture,pred_lotka_volterra_competition,pred_lotka_volterra_hill_competition
6.0,185.52,NaN,NaN,NaN
6.0,160.95,NaN,NaN,NaN
6.0,172.44,NaN,NaN,NaN
6.0,194.07,NaN,NaN,NaN
6.0,197.59,NaN,NaN,NaN
6.0,154.38,NaN,NaN,NaN
7.0,1587.94,NaN,NaN,NaN
7.0,1544.41,NaN,NaN,NaN
7.0,1527.39,NaN,NaN,NaN
7.0,1702.15,NaN,NaN,NaN
7.0,1305.45,NaN,NaN,NaN
7.0,947.48,NaN,NaN,NaN
7.0,1015.67,NaN,NaN,NaN
7.0,808.65,NaN,NaN,NaN
7.0,710.2,NaN,NaN,NaN
7.0,1715.12,NaN,NaN,NaN
7.0,1600.35,NaN,NaN,NaN
7.0,1383.58,NaN,NaN,NaN
7.0,1988.47,NaN,NaN,NaN
7.0,1631.01,NaN,NaN,NaN
7.0,1474.84,NaN,NaN,NaN
7.0,1775.8,NaN,NaN,NaN
7.0,1819.55,NaN,NaN,NaN
7.0,1695.3,NaN,NaN,NaN
7.0,591.18,NaN,NaN,NaN
7.0,517.79,NaN,NaN,NaN
7.0,495.73,NaN,NaN,NaN
7.0,563.95,NaN,NaN,NaN
7.0,554.06,NaN,NaN,NaN
7.0,496.52,NaN,NaN,NaN
7.0,1912.13,NaN,NaN,NaN
7.0,1687.05,NaN,NaN,NaN
7.0,1753.06,NaN,NaN,NaN
7.0,2101.87,NaN,NaN,NaN
7.0,1694.31,NaN,NaN,NaN
7.0,1793.3,NaN,NaN,NaN
7.0,218.16,NaN,NaN,NaN
7.0,230.66,NaN,NaN,NaN
7.0,233.7,NaN,NaN,NaN
7.0,229.41,NaN,NaN,NaN
7.0,296.73,NaN,NaN,NaN
7.0,287.9,NaN,NaN,NaN
8.0,1761.06,NaN,NaN,NaN
8.0,1845.26,NaN,NaN,NaN
8.0,1723.35,NaN,NaN,NaN
8.0,1805.86,NaN,NaN,NaN
8.0,1487.49,NaN,NaN,NaN
8.0,1247.86,NaN,NaN,NaN
8.0,1279.17,NaN,NaN,NaN
8.0,993.74,NaN,NaN,NaN
8.0,851.52,NaN,NaN,NaN
8.0,2028.77,NaN,NaN,NaN
8.0,2019.73,NaN,NaN,NaN
8.0,1783.2,NaN,NaN,NaN
8.0,2270.43,NaN,NaN,NaN
8.0,2056.1,NaN,NaN,NaN
8.0,1752.68,NaN,NaN,NaN
8.0,1983.65,NaN,NaN,NaN
8.0,2283.35,NaN,NaN,NaN
8.0,1830.59,NaN,NaN,NaN
8.0,888.56,NaN,NaN,NaN
8.0,701.39,NaN,NaN,NaN
8.0,711.31,NaN,NaN,NaN
8.0,825.26,NaN,NaN,NaN
8.0,739.77,NaN,NaN,NaN
8.0,679.72,NaN,NaN,NaN
8.0,2195.06,NaN,NaN,NaN
8.0,1990.65,NaN,NaN,NaN
8.0,2098.15,NaN,NaN,NaN
8.0,2555.67,NaN,NaN,NaN
8.0,2287.78,NaN,NaN,NaN
8.0,2143.86,NaN,NaN,NaN
8.0,322.58,NaN,NaN,NaN
8.0,312.68,NaN,NaN,NaN
8.0,316.73,NaN,NaN,NaN
8.0,459.67,NaN,NaN,NaN
8.0,417.05,NaN,NaN,NaN
8.0,404.0,NaN,NaN,NaN
9.0,1731.52,NaN,NaN,NaN
9.0,1673.5,NaN,NaN,NaN
9.0,1541.73,NaN,NaN,NaN
9.0,1536.06,NaN,NaN,NaN
9.0,1630.14,NaN,NaN,NaN
9.0,1138.12,NaN,NaN,NaN
9.0,1557.5,NaN,NaN,NaN
9.0,1177.03,NaN,NaN,NaN
9.0,1284.51,NaN,NaN,NaN
9.0,2633.67,NaN,NaN,NaN
9.0,2468.65,NaN,NaN,NaN
9.0,2237.33,NaN,NaN,NaN
9.0,2250.12,NaN,NaN,NaN
9.0,1759.54,NaN,NaN,NaN
9.0,1803.53,NaN,NaN,NaN
9.0,1915.13,NaN,NaN,NaN
9.0,2178.94,NaN,NaN,NaN
9.0,2199.91,NaN,NaN,NaN
9.0,1010.1,NaN,NaN,NaN
9.0,875.36,NaN,NaN,NaN
9.0,791.5,NaN,NaN,NaN
9.0,865.71,NaN,NaN,NaN
9.0,735.05,NaN,NaN,NaN
9.0,846.74,NaN,NaN,NaN
9.0,2177.83,NaN,NaN,NaN
9.0,2011.74,NaN,NaN,NaN
9.0,2733.37,NaN,NaN,NaN
9.0,2378.86,NaN,NaN,NaN
9.0,1888.04,NaN,NaN,NaN
9.0,2388.11,NaN,NaN,NaN
9.0,329.23,NaN,NaN,NaN
9.0,392.71,NaN,NaN,NaN
9.0,386.96,NaN,NaN,NaN
9.0,442.31,NaN,NaN,NaN
9.0,428.4,NaN,NaN,NaN
9.0,395.3,NaN,NaN,NaN
10.0,2011.8,NaN,NaN,NaN
10.0,2113.71,NaN,NaN,NaN
10.0,2170.44,NaN,NaN,NaN
10.0,1735.36,NaN,NaN,NaN
10.0,1519.54,NaN,NaN,NaN
10.0,1667.46,NaN,NaN,NaN
10.0,1293.44,NaN,NaN,NaN
10.0,968.21,NaN,NaN,NaN
10.0,983.69,NaN,NaN,NaN
10.0,1775.87,NaN,NaN,NaN
10.0,1759.68,NaN,NaN,NaN
10.0,1938.27,NaN,NaN,NaN
10.0,2629.11,NaN,NaN,NaN
10.0,2467.08,NaN,NaN,NaN
10.0,2092.66,NaN,NaN,NaN
10.0,2404.23,NaN,NaN,NaN
10.0,2577.73,NaN,NaN,NaN
10.0,2222.73,NaN,NaN,NaN
10.0,820.64,NaN,NaN,NaN
10.0,578.02,NaN,NaN,NaN
10.0,625.64,NaN,NaN,NaN
10.0,675.93,NaN,NaN,NaN
10.0,543.44,NaN,NaN,NaN
10.0,598.38,NaN,NaN,NaN
10.0,2322.69,NaN,NaN,NaN
10.0,2357.35,NaN,NaN,NaN
10.0,2465.02,NaN,NaN,NaN
10.0,3142.62,NaN,NaN,NaN
10.0,2447.54,NaN,NaN,NaN
10.0,257.98,NaN,NaN,NaN
10.0,330.84,NaN,NaN,NaN
10.0,255.88,NaN,NaN,NaN
10.0,370.38,NaN,NaN,NaN
10.0,384.0,NaN,NaN,NaN
10.0,334.1,NaN,NaN,NaN
11.0,2459.81,NaN,NaN,NaN
11.0,2485.92,NaN,NaN,NaN
11.0,2155.62,NaN,NaN,NaN
11.0,2198.48,NaN,NaN,NaN
11.0,2120.83,NaN,NaN,NaN
11.0,2550.39,NaN,NaN,NaN
11.0,1973.89,NaN,NaN,NaN
11.0,1448.94,NaN,NaN,NaN
11.0,1782.69,NaN,NaN,NaN
11.0,3250.9,NaN,NaN,NaN
11.0,3204.08,NaN,NaN,NaN
11.0,3294.22,NaN,NaN,NaN
11.0,2591.01,NaN,NaN,NaN
11.0,2466.98,NaN,NaN,NaN
11.0,2524.19,NaN,NaN,NaN
11.0,2742.47,NaN,NaN,NaN
11.0,2918.17,NaN,NaN,NaN
11.0,2847.69,NaN,NaN,NaN
11.0,1134.32,NaN,NaN,NaN
11.0,929.55,NaN,NaN,NaN
11.0,960.43,NaN,NaN,NaN
11.0,1052.19,NaN,NaN,NaN
11.0,758.89,NaN,NaN,NaN
11.0,904.8,NaN,NaN,NaN
11.0,2101.33,NaN,NaN,NaN
11.0,2652.3,NaN,NaN,NaN
11.0,2345.85,NaN,NaN,NaN
11.0,2950.11,NaN,NaN,NaN
11.0,2549.17,NaN,NaN,NaN
11.0,2820.35,NaN,NaN,NaN
11.0,350.28,NaN,NaN,NaN
11.0,453.8,NaN,NaN,NaN
11.0,452.51,NaN,NaN,NaN
11.0,456.32,NaN,NaN,NaN
11.0,385.96,NaN,NaN,NaN
11.0,416.35,NaN,NaN,NaN
12.0,2367.25,NaN,NaN,NaN
12.0,2088.23,NaN,NaN,NaN
12.0,2295.19,NaN,NaN,NaN
12.0,1407.19,NaN,NaN,NaN
12.0,2107.14,NaN,NaN,NaN
12.0,1789.95,NaN,NaN,NaN
12.0,1299.12,NaN,NaN,NaN
12.0,826.42,NaN,NaN,NaN
12.0,833.49,NaN,NaN,NaN
12.0,1530.98,NaN,NaN,NaN
12.0,1703.11,NaN,NaN,NaN
12.0,1661.1,NaN,NaN,NaN
12.0,3111.82,NaN,NaN,NaN
12.0,2602.34,NaN,NaN,NaN
12.0,2532.83,NaN,NaN,NaN
12.0,2384.17,NaN,NaN,NaN
12.0,2719.94,NaN,NaN,NaN
12.0,2549.2,NaN,NaN,NaN
12.0,741.26,NaN,NaN,NaN
12.0,469.74,NaN,NaN,NaN
12.0,645.8,NaN,NaN,NaN
12.0,545.24,NaN,NaN,NaN
12.0,461.39,NaN,NaN,NaN
12.0,482.07,NaN,NaN,NaN
12.0,2261.1,NaN,NaN,NaN
12.0,2673.23,NaN,NaN,NaN
12.0,2647.97,NaN,NaN,NaN
12.0,3339.04,NaN,NaN,NaN
12.0,2739.35,NaN,NaN,NaN
12.0,2957.53,NaN,NaN,NaN
12.0,233.91,NaN,NaN,NaN
12.0,213.64,NaN,NaN,NaN
12.0,337.13,NaN,NaN,NaN
12.0,270.16,NaN,NaN,NaN
12.0,774.92,NaN,NaN,NaN
13.0,2901.56,NaN,NaN,NaN
13.0,2397.47,NaN,NaN,NaN
13.0,2953.02,NaN,NaN,NaN
13.0,2251.89,NaN,NaN,NaN
13.0,2491.56,NaN,NaN,NaN
13.0,2538.66,NaN,NaN,NaN
13.0,1807.94,NaN,NaN,NaN
13.0,1192.49,NaN,NaN,NaN
13.0,1397.13,NaN,NaN,NaN
13.0,2607.07,NaN,NaN,NaN
13.0,2767.95,NaN,NaN,NaN
13.0,2645.8,NaN,NaN,NaN
13.0,3310.14,NaN,NaN,NaN
13.0,2795.13,NaN,NaN,NaN
13.0,2723.82,NaN,NaN,NaN
13.0,2931.14,NaN,NaN,NaN
13.0,3154.48,NaN,NaN,NaN
13.0,2567.82,NaN,NaN,NaN
13.0,1023.02,NaN,NaN,NaN
13.0,594.68,NaN,NaN,NaN
13.0,863.1,NaN,NaN,NaN
13.0,802.96,NaN,NaN,NaN
13.0,549.36,NaN,NaN,NaN
13.0,682.65,NaN,NaN,NaN
13.0,2430.45,NaN,NaN,NaN
13.0,3008.4,NaN,NaN,NaN
13.0,3047.77,NaN,NaN,NaN
13.0,3432.62,NaN,NaN,NaN
13.0,2849.77,NaN,NaN,NaN
13.0,3016.35,NaN,NaN,NaN
13.0,285.09,NaN,NaN,NaN
13.0,309.32,NaN,NaN,NaN
13.0,333.27,NaN,NaN,NaN
13.0,388.36,NaN,NaN,NaN
13.0,282.05,NaN,NaN,NaN
13.0,311.15,NaN,NaN,NaN
14.0,2473.2,NaN,NaN,NaN
14.0,2751.21,NaN,NaN,NaN
14.0,2831.09,NaN,NaN,NaN
14.0,2015.42,NaN,NaN,NaN
14.0,1992.16,NaN,NaN,NaN
14.0,1983.15,NaN,NaN,NaN
14.0,1167.27,NaN,NaN,NaN
14.0,1032.88,NaN,NaN,NaN
14.0,1056.86,NaN,NaN,NaN
14.0,1889.4,NaN,NaN,NaN
14.0,1609.27,NaN,NaN,NaN
14.0,1556.07,NaN,NaN,NaN
14.0,2851.46,NaN,NaN,NaN
14.0,2896.13,NaN,NaN,NaN
14.0,3078.58,NaN,NaN,NaN
14.0,2773.63,NaN,NaN,NaN
14.0,3348.94,NaN,NaN,NaN
14.0,2211.97,NaN,NaN,NaN
14.0,547.83,NaN,NaN,NaN
14.0,406.4,NaN,NaN,NaN
14.0,603.19,NaN,NaN,NaN
14.0,465.35,NaN,NaN,NaN
14.0,380.96,NaN,NaN,NaN
14.0,420.62,NaN,NaN,NaN
14.0,2489.78,NaN,NaN,NaN
14.0,2826.23,NaN,NaN,NaN
14.0,3069.08,NaN,NaN,NaN
14.0,3102.19,NaN,NaN,NaN
14.0,2982.64,NaN,NaN,NaN
14.0,2967.04,NaN,NaN,NaN
14.0,185.51,NaN,NaN,NaN
14.0,186.53,NaN,NaN,NaN
14.0,211.8,NaN,NaN,NaN
14.0,231.73,NaN,NaN,NaN
14.0,201.17,NaN,NaN,NaN
14.0,203.65,NaN,NaN,NaN
