workbook,sheet,series,day,value
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,9.0,33.48742040439053
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,9.0,9.285587907077549
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,9.0,5.361036677735156
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,10.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,10.0,36.7905626420181
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,10.0,13.193630076972765
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,10.0,7.617345876528569
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,11.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,11.0,34.56571965337955
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,11.0,23.18015677090359
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,11.0,13.383069751538915
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,13.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,13.0,16.697786558829193
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,13.0,5.780040848073494
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,13.0,3.3371081395622646
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,N Samples,14.0,3.0
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,Mean Cells,14.0,14.710266088965916
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SD Cells,14.0,6.1848892293599915
ALL A2780-cis LR data.xlsx,1 - A2780cis 20k 1-3,SEM Cells,14.0,3.5708474614790084
