Image,Area µm^2,Confluency %,Perimeter µm,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-0_C3.tif,76916.9,12.13302629,30846.2,15.25404921
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-0_C6.tif,36193.9,5.709298482,14062.2,13.01707035
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-1_A3.tif,43655.5,6.886306252,17051.4,16.61102221
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-1_A6.tif,109495.7,17.27207164,31162,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-1_B3.tif,37235.3,5.873571009,18310.5,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-1_B6.tif,67820.3,10.69811034,25472.5,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-1_C3.tif,78962.8,12.45575067,28501.5,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-1_C6.tif,109633.3,17.29377694,33650.4,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-2_A3.tif,52997.4,8.359916322,17538,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-2_A6.tif,138661.2,21.87269619,40530.7,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-2_B3.tif,69783.8,11.00783677,20710.7,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-2_B6.tif,87204.7,13.75584453,31450.8,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-2_C3.tif,40800.9,6.436015915,16024.2,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-2_C6.tif,143643.7,22.65864575,39226,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-3_A3.tif,42598.9,6.719636046,17845.3,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-3_A6.tif,91951.3,14.50458275,30598.6,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-3_B3.tif,49483,7.805547807,18947.9,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-3_B6.tif,112639.2,17.76793364,39117.9,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-3_C3.tif,53108.3,8.37740991,23487.8,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-3_C6.tif,93852,14.80440298,31960.2,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-4_A3.tif,52813.2,8.330860244,22942.9,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-4_A6.tif,112078,17.67940883,38001.1,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-4_B3.tif,62042.9,9.78677166,24756.9,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-4_B6.tif,112743.9,17.78444923,35680.6,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-4_C3.tif,60684.2,9.572447593,20753.3,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-4_C6.tif,134852.8,21.27195152,39702.6,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-5_A3.tif,36399.9,5.741793335,17687.4,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-5_A6.tif,95820,15.11483926,31197.6,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-5_B3.tif,43055.8,6.79170837,20343.6,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-5_B6.tif,66266.3,10.45297926,27551.1,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-5_C3.tif,59273.8,9.349968264,25586.3,
25-75_co-cultureA2780_15and20_Day14_FITC_Tile-5_C6.tif,113654.3,17.92805756,34983.5,
25-75_co-cultureA2780_15and20_Day16_FITC_Tile-0_A3.tif,31728.6,5.004933091,14938.6,5.360220675
25-75_co-cultureA2780_15and20_Day16_FITC_Tile-0_A6.tif,99795.9,15.74200571,33961.9,8.7377689
25-75_co-cultureA2780_15and20_Day16_FITC_Tile-0_B3.tif,48590.4,7.66474729,18664.8,6.794689694
25-75_co-cultureA2780_15and20_Day16_FITC_Tile-0_B6.tif,75200.9,11.86234101,28170,
25-75_co-cultureA2780_15and20_Day16_FITC_Tile-0_C3.tif,40701.2,6.420289037,18703.2,14.98808829
