Image,Area µm^2,Confluency %,Perimeter µm,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_B2.tif,587683.6,92.70239143,27021.9,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_B5.tif,623756.6,98.3926189,9926.4,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_C2.tif,520866.2,82.16248055,41038.6,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-4_C5.tif,594020.2,93.70193944,24719.9,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_A2.tif,580545.4,91.57639742,28757.6,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_A5.tif,540644.8,85.28239664,37615.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_B2.tif,556746.4,87.82229536,34209.5,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_B5.tif,617702.3,97.43760146,12037.7,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_C2.tif,508329.1,80.18485322,45799,
50-50_co-cultureA2780_15and20_Day18_TX RED_Tile-5_C5.tif,606989,95.747664,16850.8,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_A2.tif,20277.5,3.198613577,7374,4.190681988
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_A5.tif,17177,2.70953448,6446.4,4.719822298
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_B2.tif,21231.4,3.349083679,7204.7,3.689911579
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_B5.tif,28183.8,4.445769219,10131.2,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_C2.tif,19584.7,3.089329914,7135,3.00597115
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-0_C5.tif,9643.1,1.521121962,4033.4,3.282582278
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_A2.tif,18581.7,2.931114679,6849,2.451274006
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_A5.tif,11506.3,1.815026872,4217,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_B2.tif,21874.5,3.450527565,8072.6,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_B5.tif,30548,4.818702876,11036.1,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_C2.tif,17009,2.683033823,5555.8,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-1_C5.tif,20139.8,3.176892503,7859.1,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_A2.tif,38094.1,6.009039846,12609.6,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_A5.tif,17505.4,2.761336956,7109.4,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_B2.tif,41203.2,6.499475525,15580.3,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_B5.tif,24614.7,3.882772217,9400,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_C2.tif,35178.8,5.549174569,12258.2,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-2_C5.tif,8567.7,1.351486206,3384.7,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-3_A2.tif,22384.6,3.530991764,8295.9,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-3_A5.tif,13250.1,2.090097387,5486,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-3_B2.tif,28501.6,4.49589963,9973.3,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-3_B5.tif,18739.1,2.955943272,6541.7,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-3_C2.tif,20154,3.179132439,7386.8,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-3_C5.tif,20505.7,3.234610304,7603.1,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-4_A2.tif,33830.2,5.336443696,12530,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-4_A5.tif,29495,4.652600541,10257.9,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-4_B2.tif,27951.1,4.409062654,9069.9,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-4_B5.tif,10072.7,1.588887929,3512.7,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-4_C2.tif,27652.5,4.36196089,9947.7,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-4_C5.tif,21269.3,3.355062102,7873.4,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-5_A2.tif,26232,4.137888367,9509.5,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-5_A5.tif,25403.7,4.007230661,8062.6,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-5_B2.tif,38765.1,6.114884734,12310.9,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-5_B5.tif,12700.6,2.003418153,4491.6,
50-50_co-cultureA2780_15and20_Day2_TX RED_Tile-5_C2.tif,20773.4,3.276837839,7716.9,
