parameter,estimate,lower_bound,upper_bound,bound_position,identifiability,cell_line,model,pooling_mode
ec50_uM_20k,2.3988986701290536,0.001,10.0,0.23981384839774514,interior,A2780Naive,joint_anchored_hill_kill,independent_diagnostic
hill_n_20k,2.0143573209965107,0.1,6.0,0.32446734254178144,interior,A2780Naive,joint_anchored_hill_kill,independent_diagnostic
emax_30k,0.7286031250518067,0.0,3.0,0.24286770835060223,interior,A2780Naive,joint_anchored_hill_kill,independent_diagnostic
ec50_uM_30k,0.8202127346768805,0.001,10.0,0.08192946641432948,interior,A2780Naive,joint_anchored_hill_kill,independent_diagnostic
hill_n_30k,1.9994971912970863,0.1,6.0,0.32194867649103154,interior,A2780Naive,joint_anchored_hill_kill,independent_diagnostic
k_kill_20k,0.4740847012467408,0.0,8.0,0.0592605876558426,interior,A2780Naive,joint_anchored_linear_kill,independent_diagnostic
k_kill_30k,0.41993370576391265,0.0,8.0,0.05249171322048908,interior,A2780Naive,joint_anchored_linear_kill,independent_diagnostic
emax_20k,1.8777239715577632,0.0,5.0,0.37554479431155263,interior,A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic
ec50_effect_20k,0.5066142959020404,0.05,1.0,0.48064662726530577,interior,A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic
hill_n_20k,2.491304066545124,0.2,12.0,0.19417831072416303,interior,A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic
lambda_20k,0.12873471843842735,0.01,5.0,0.023794532753191853,interior,A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic
emax_30k,1.978861661872705,0.0,5.0,0.395772332374541,interior,A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic
ec50_effect_30k,0.5087572876801207,0.05,1.0,0.48290240808433765,interior,A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic
hill_n_30k,3.6040146817039833,0.2,12.0,0.2884758204833884,interior,A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic
lambda_30k,0.08724115206840835,0.01,5.0,0.0154791887912642,poorly_identified_at_bound,A2780Naive,joint_ic_effect_hill_ramp,independent_diagnostic
emax_20k,1.3103221746884526,0.0,5.0,0.2620644349376905,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic
ec50_effect_20k,0.5039547489148595,0.05,1.0,0.47784710412090475,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic
hill_n_20k,2.477154914241539,0.2,12.0,0.19297923002046938,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic
lambda_20k,0.9231833381944408,0.01,5.0,0.18300267298485787,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic
t_onset_20k,2.6221141558001104,0.0,7.0,0.3745877365428729,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic
emax_30k,1.1381999868809607,0.0,5.0,0.22763999737619214,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic
ec50_effect_30k,0.5127511440233984,0.05,1.0,0.48710646739305097,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic
hill_n_30k,3.6090599413735784,0.2,12.0,0.28890338486216766,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic
lambda_30k,0.7231171872388245,0.01,5.0,0.14290925595968426,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic
t_onset_30k,2.7422396985731785,0.0,7.0,0.39174852836759694,interior,A2780Naive,joint_ic_effect_hill_ramp_onset,independent_diagnostic
emax_20k,1.517544305306156,0.0,4.0,0.379386076326539,interior,A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic
ec50_effect_20k,0.7987478575412725,0.05,1.0,0.788155639517129,interior,A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic
hill_n_20k,1.808441772590485,0.2,10.0,0.16412671148882502,interior,A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic
emax_30k,1.5461974144191555,0.0,4.0,0.38654935360478887,interior,A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic
ec50_effect_30k,0.845331874857777,0.05,1.0,0.8371914472187126,interior,A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic
hill_n_30k,2.2284656813429726,0.2,10.0,0.206986294014589,interior,A2780Naive,joint_ic_effect_logistic_hill,independent_diagnostic
emax_20k,1.2560479303616392,0.0,5.0,0.25120958607232785,interior,A2780Naive,joint_ic_effect_transit_death,independent_diagnostic
lambda_20k,1.037020892527141,0.01,5.0,0.20581581012567954,interior,A2780Naive,joint_ic_effect_transit_death,independent_diagnostic
t_onset_20k,2.545017079360308,0.0,7.0,0.363573868480044,interior,A2780Naive,joint_ic_effect_transit_death,independent_diagnostic
k_clear_20k,1.3481592841319388,0.01,5.0,0.2681681932128134,interior,A2780Naive,joint_ic_effect_transit_death,independent_diagnostic
emax_30k,1.2051323030012182,0.0,5.0,0.24102646060024363,interior,A2780Naive,joint_ic_effect_transit_death,independent_diagnostic
lambda_30k,1.726256782305278,0.01,5.0,0.3439392349309174,interior,A2780Naive,joint_ic_effect_transit_death,independent_diagnostic
t_onset_30k,2.865452044595938,0.0,7.0,0.409350292085134,interior,A2780Naive,joint_ic_effect_transit_death,independent_diagnostic
k_clear_30k,0.7076724118383445,0.01,5.0,0.13981411058884657,interior,A2780Naive,joint_ic_effect_transit_death,independent_diagnostic
emax_sensitive_20k,1.1990736376174636,0.0,5.0,0.2398147275234927,interior,A2780Naive,joint_ic_effect_two_population,independent_diagnostic
emax_tolerant_20k,1.1054450302119907,0.0,3.0,0.36848167673733023,interior,A2780Naive,joint_ic_effect_two_population,independent_diagnostic
lambda_20k,0.9532271966765539,0.01,5.0,0.18902348630792662,interior,A2780Naive,joint_ic_effect_two_population,independent_diagnostic
t_onset_20k,2.740410585811323,0.0,7.0,0.3914872265444747,interior,A2780Naive,joint_ic_effect_two_population,independent_diagnostic
f_tolerant0_20k,0.12814783803851548,0.0,0.95,0.1348924610931742,interior,A2780Naive,joint_ic_effect_two_population,independent_diagnostic
emax_sensitive_30k,1.3173083635845482,0.0,5.0,0.2634616727169096,interior,A2780Naive,joint_ic_effect_two_population,independent_diagnostic
emax_tolerant_30k,1.07540905130498,0.0,3.0,0.3584696837683267,interior,A2780Naive,joint_ic_effect_two_population,independent_diagnostic
lambda_30k,0.4579523291904555,0.01,5.0,0.08977000584979067,interior,A2780Naive,joint_ic_effect_two_population,independent_diagnostic
t_onset_30k,2.525231177581297,0.0,7.0,0.3607473110830424,interior,A2780Naive,joint_ic_effect_two_population,independent_diagnostic
f_tolerant0_30k,0.3979915024487964,0.0,0.95,0.41893842363031203,interior,A2780Naive,joint_ic_effect_two_population,independent_diagnostic
k_kill_20k,0.47408727294338726,0.0,4.0,0.11852181823584682,interior,A2780Naive,joint_time_decay_dose_scaled,independent_diagnostic
lambda_20k,4.1884160660830897e-10,0.0,5.0,8.376832132166179e-11,poorly_identified_at_bound,A2780Naive,joint_time_decay_dose_scaled,independent_diagnostic
k_kill_30k,0.41993568445351176,0.0,4.0,0.10498392111337794,interior,A2780Naive,joint_time_decay_dose_scaled,independent_diagnostic
lambda_30k,1.6765972548076656e-10,0.0,5.0,3.3531945096153314e-11,poorly_identified_at_bound,A2780Naive,joint_time_decay_dose_scaled,independent_diagnostic
emax,2.9510731665322822,0.0,3.0,0.9836910555107607,poorly_identified_at_bound,A2780cis,joint_anchored_hill_kill,shared
ec50_uM,3.597811100296149,0.001,10.0,0.35971708173778866,interior,A2780cis,joint_anchored_hill_kill,shared
hill_n,3.43077858215088,0.1,6.0,0.5645387427374372,interior,A2780cis,joint_anchored_hill_kill,shared
k_kill,0.0727936433373103,0.0,8.0,0.009099205417163787,poorly_identified_at_bound,A2780cis,joint_anchored_linear_kill,shared
emax,1.148864525766572,0.0,5.0,0.2297729051533144,interior,A2780cis,joint_ic_effect_hill_ramp,shared
ec50_effect,0.5639183278579192,0.05,1.0,0.5409666609030728,interior,A2780cis,joint_ic_effect_hill_ramp,shared
hill_n,7.371682585873414,0.2,12.0,0.6077697106672384,interior,A2780cis,joint_ic_effect_hill_ramp,shared
lambda,0.02526451916655138,0.01,5.0,0.0030590218770644045,poorly_identified_at_bound,A2780cis,joint_ic_effect_hill_ramp,shared
emax,0.45610976353235666,0.0,5.0,0.09122195270647133,interior,A2780cis,joint_ic_effect_hill_ramp_onset,shared
ec50_effect,0.608740508267527,0.05,1.0,0.5881479034395021,interior,A2780cis,joint_ic_effect_hill_ramp_onset,shared
hill_n,2.240729731784151,0.2,12.0,0.17294319760882634,interior,A2780cis,joint_ic_effect_hill_ramp_onset,shared
lambda,4.763729185083579,0.01,5.0,0.9526511392953064,interior,A2780cis,joint_ic_effect_hill_ramp_onset,shared
t_onset,5.82432970718944,0.0,7.0,0.8320471010270628,interior,A2780cis,joint_ic_effect_hill_ramp_onset,shared
emax,0.14142555179909633,0.0,4.0,0.03535638794977408,interior,A2780cis,joint_ic_effect_logistic_hill,shared
ec50_effect,0.5773150908412424,0.05,1.0,0.555068516674992,interior,A2780cis,joint_ic_effect_logistic_hill,shared
hill_n,9.829187207573062,0.2,10.0,0.982570123221741,poorly_identified_at_bound,A2780cis,joint_ic_effect_logistic_hill,shared
emax,0.35704995467596723,0.0,5.0,0.07140999093519344,interior,A2780cis,joint_ic_effect_transit_death,shared
lambda,4.99991237058455,0.01,5.0,0.9999824389948998,poorly_identified_at_bound,A2780cis,joint_ic_effect_transit_death,shared
