model,parameter,environments_fit,value_mean,value_sd,value_min,value_max,observed_span,coefficient_of_variation,lower_bound,upper_bound,bound_range_fraction,minimum_boundary_margin_fraction,near_optimization_bound,stability_class
joint_ic_effect_hill_ramp_onset,hill_n,2,7.071577157322756,6.811836994557902,2.254881026133472,11.88827328851204,9.63339226237857,0.9632698396713543,0.2,12.0,0.8163891747778448,0.009468365380335525,true,broad
joint_ic_effect_hill_ramp_onset,lambda,2,0.26870106236762215,0.130934888435864,0.17611611486071863,0.36128600987452564,0.185169895013807,0.4872883169204818,0.01,5.0,0.037108195393548496,0.03328980257729832,true,tight
joint_ic_effect_hill_ramp_onset,t_onset,2,6.848150003575755e-5,9.68474651958645e-5,6.550336078187509e-13,0.00013696299941648148,0.00013696299876144786,1.4142135488459757,0.0,7.0,1.9566142680206837e-5,9.357622968839299e-14,true,tight
joint_ic_effect_logistic_hill,ec50_effect,2,0.9999972404333357,3.838574540690551e-6,0.9999945261512478,0.9999999547154235,5.4285641756246505e-6,3.838585133522123e-6,0.05,1.0,5.714278079604895e-6,4.766797529797666e-8,true,tight
joint_ic_effect_logistic_hill,emax,2,1.2042323617899362,1.0811583507159357,0.4397379604622345,1.968726763117638,1.5289888026554035,0.8977987845376727,0.0,4.0,0.3822472006638509,0.10993449011555863,false,broad
joint_ic_effect_logistic_hill,hill_n,2,3.0067470200198203,1.3706395741104964,2.037558482603647,3.975935557435994,1.938377074832347,0.4558546379141206,0.2,10.0,0.1977935790645252,0.18750596761261704,false,moderate
joint_ic_effect_transit_death,emax,2,0.7886557543012986,0.42365692023007206,0.48908507311000643,1.0882264354925908,0.5991413623825843,0.5371886503324971,0.0,5.0,0.11982827247651687,0.09781701462200129,false,moderate
joint_ic_effect_transit_death,k_clear,2,0.5449181432120167,0.6105234867963826,0.11321284562463897,0.9766234407993944,0.8634105951747555,1.1203948600383455,0.01,5.0,0.17302817538572254,0.020683936998925647,true,moderate
joint_ic_effect_transit_death,lambda,2,2.7900514705905577,3.1244110742428717,0.5807592127790775,4.999343728402038,4.41858451562296,1.119839941010673,0.01,5.0,0.8854878788823568,0.00013151735430102411,true,broad
joint_ic_effect_transit_death,t_onset,2,2.5368961092771567,3.587712477623381,2.8740207428335587e-7,5.073791931152239,5.073791643750164,1.4142134021584494,0.0,7.0,0.7248273776785948,4.1057439183336555e-8,true,broad
joint_ic_effect_two_population,emax_sensitive,2,4.995580060112912,0.006246239849866914,4.991163301558154,4.999996818667671,0.008833517109517075,0.001250353267229138,0.0,5.0,0.001766703421903415,6.362664658254858e-7,true,tight
joint_ic_effect_two_population,emax_tolerant,2,0.607116253442203,0.6526668331282864,0.14561110988164286,1.0686213970027632,0.9230102871211203,1.0750277717452343,0.0,3.0,0.3076700957070401,0.048537036627214286,true,broad
joint_ic_effect_two_population,f_tolerant0,2,0.8453269533232182,0.1480300422250913,0.7406539066465251,0.9499999999999111,0.20934609335338605,0.17511572491938598,0.0,0.95,0.22036430879303795,9.349246523159214e-14,true,moderate
joint_ic_effect_two_population,lambda,2,2.689505621469133,3.2675324536660075,0.3790112657347807,4.999999977203485,4.620988711468704,1.214919361975949,0.01,5.0,0.9260498419776961,4.568439859319582e-9,true,broad
joint_ic_effect_two_population,t_onset,2,2.9680624052983906,4.197474107541767,6.550336078187509e-13,5.936124810596126,5.93612481059547,1.4142135623727827,0.0,7.0,0.8480178300850671,9.357622968839299e-14,true,broad
joint_time_decay_dose_scaled,k_kill,2,0.2551309265363496,0.2782439856867191,0.0583827174328979,0.45187913563980137,0.39349641820690345,1.0905929338483253,0.0,4.0,0.09837410455172586,0.014595679358224475,true,tight
joint_time_decay_dose_scaled,lambda,2,4.968644742858349e-10,6.536276366189684e-10,3.467994006162577e-11,9.590490085100439e-10,9.243690684484181e-10,1.3155048719441174,0.0,2.0,4.6218453422420906e-10,1.7339970030812885e-11,true,tight
