cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_pct,lower_bound,upper_bound,bound_position,parameter_scope
A2780Naive,joint_ic_effect_logistic_hill,partial_5pct,20k,ec50_effect,0.9999999999999112,0.9999999999999112,0.0,0.05,1.0,0.9999999999999065,partial_5pct
A2780Naive,joint_ic_effect_logistic_hill,partial_5pct,20k,hill_n,1.8484736642561366,1.8484736642561366,0.0,0.2,10.0,0.16821159839348332,partial_5pct
A2780Naive,joint_ic_effect_logistic_hill,partial_5pct,30k,emax,1.865511362269561,1.7766775619202162,-4.7619007927815815,0.0,4.0,0.44416939048005405,density_partial_5pct
A2780Naive,joint_ic_effect_logistic_hill,partial_5pct,30k,ec50_effect,0.9999999999999112,0.9999999999999112,0.0,0.05,1.0,0.9999999999999065,partial_5pct
A2780Naive,joint_ic_effect_logistic_hill,partial_5pct,30k,hill_n,1.8484736642561366,1.8484736642561366,0.0,0.2,10.0,0.16821159839348332,partial_5pct
A2780Naive,joint_ic_effect_transit_death,partial_5pct,20k,emax,1.2250041361486006,1.2861351572624924,4.990270588480383,0.0,5.0,0.2572270314524985,density_partial_5pct
A2780Naive,joint_ic_effect_transit_death,partial_5pct,20k,lambda,4.999999999999534,4.999999999999534,0.0,0.01,5.0,0.9999999999999065,partial_5pct
A2780Naive,joint_ic_effect_transit_death,partial_5pct,20k,t_onset,3.0690546743351113,3.0690546743351113,0.0,0.0,7.0,0.43843638204787305,partial_5pct
A2780Naive,joint_ic_effect_transit_death,partial_5pct,20k,k_clear,0.7664922139338555,0.7664922139338555,0.0,0.01,5.0,0.15160164607892895,partial_5pct
A2780Naive,joint_ic_effect_transit_death,partial_5pct,30k,emax,1.2250041361486006,1.1667787208113063,-4.7530790810514585,0.0,5.0,0.23335574416226126,density_partial_5pct
A2780Naive,joint_ic_effect_transit_death,partial_5pct,30k,lambda,4.999999999999534,4.999999999999534,0.0,0.01,5.0,0.9999999999999065,partial_5pct
A2780Naive,joint_ic_effect_transit_death,partial_5pct,30k,t_onset,3.0690546743351113,3.0690546743351113,0.0,0.0,7.0,0.43843638204787305,partial_5pct
A2780Naive,joint_ic_effect_transit_death,partial_5pct,30k,k_clear,0.7664922139338555,0.7664922139338555,0.0,0.01,5.0,0.15160164607892895,partial_5pct
