model,pooling_mode,eligible_for_inheritance,cell_line,density,dose,bic,ssr,scaled_ssr,n_parameters,n_points,n_densities,n_doses,joint_group,growth_family,growth_inheritance,residual_scaling,initial_condition_strategy,effect_parameter_scope,boundary_issue,model_behavior,anchored_hill_limitation,ic75_low_density_net_rate,ic75_long_term_fate,params
joint_ic_effect_logistic_hill,partial_5pct,true,A2780cis,20k/30k,NaN,-326.04244434304013,1.919286368207061e7,1.4026563784111026,4,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,logistic survival below threshold and extinction above it,,0.35964791037070243,survival_or_regrowth,"(names = [:emax, :ec50_effect, :hill_n, :log_contrast_effect], values = [0.14285218453367246, 0.5744070114639541, 9.999999999999083, 0.04879011129109739], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_linear_kill,partial_5pct,true,A2780cis,20k/30k,NaN,-324.45790553089734,2.191496176339799e7,1.588399725266536,2,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,immediate net growth or extinction,,NaN,not_assessed,"(names = [:k_kill, :log_contrast_effect], values = [0.07394833919475623, 0.04879015442727393], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_time_decay_dose_scaled,shared,true,A2780cis,20k/30k,NaN,-323.01947969937214,2.223101353103231e7,1.6158338906148886,2,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,waning drug effect and regrowth,,0.48686422516273026,survival_or_regrowth,"(names = [:k_kill, :lambda], values = [0.07279372403301179, 8.687926560927221e-10], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_anchored_hill_kill,independent_diagnostic,false,A2780cis,20k/30k,NaN,-320.4400250369237,1.8465136080776513e7,1.3492753651981098,6,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,immediate logistic growth or extinction,monotonic benchmark; cannot represent rise_then_decline,NaN,not_assessed,"(names = [:emax_20k, :ec50_uM_20k, :hill_n_20k, :emax_30k, :ec50_uM_30k, :hill_n_30k], values = [0.4472867745232264, 1.821982844699393, 5.093574183874347, 0.31969031683899163, 1.4854128671805198, 4.077914285694071], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_time_decay_dose_scaled,partial_5pct,true,A2780cis,20k/30k,NaN,-320.02708852827084,2.191520415369489e7,1.5883997291199783,3,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,waning drug effect and regrowth,,0.48686422516273026,survival_or_regrowth,"(names = [:k_kill, :lambda, :log_contrast_effect], values = [0.07395501352946746, 1.7341832342332343e-10, 0.04879015937958141], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_logistic_hill,independent_diagnostic,false,A2780cis,20k/30k,NaN,-319.64295819860945,1.868079149219704e7,1.3621394282997987,6,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,false,logistic survival below threshold and extinction above it,,0.37486648381618976,survival_or_regrowth,"(names = [:emax_20k, :ec50_effect_20k, :hill_n_20k, :emax_30k, :ec50_effect_30k, :hill_n_30k], values = [0.1347381795955759, 0.632147296814989, 9.32627503270181, 0.1951247426526512, 0.6016479861276185, 6.27807028316641], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_time_decay_dose_scaled,independent_diagnostic,false,A2780cis,20k/30k,NaN,-317.5860742581347,2.1443804845740747e7,1.551215666346704,4,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,theta_logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,independent_diagnostic,true,waning drug effect and regrowth,,0.48686422516273026,survival_or_regrowth,"(names = [:k_kill_20k, :lambda_20k, :k_kill_30k, :lambda_30k], values = [0.05987873842674823, 1.7208986890849985e-12, 0.08957433898797287, 1.2731322806380089e-8], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp_onset,partial_5pct,true,A2780Naive,20k/30k,NaN,-297.5391781275575,1.0090438599644216e7,1.772155871107178,6,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,amplitude_only_plus_or_minus_5pct,true,delayed switch from logistic growth to extinction,,-0.12449742694042087,eventual_extinction,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset, :log_contrast_effect], values = [4.903809929873705, 1.6605238110330331, 1.7600589135382336, 0.8738329954496387, 2.7951914536420643, -0.04879016416942292], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_ic_effect_hill_ramp_onset,shared,true,A2780Naive,20k/30k,NaN,-293.1131580890007,1.1079142541437158e7,1.9692157075238381,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,true,delayed switch from logistic growth to extinction,,-0.09485666459396602,eventual_extinction,"(names = [:emax, :ec50_effect, :hill_n, :lambda, :t_onset], values = [4.996687886655644, 1.6327577693463946, 1.7973748499087718, 0.870720762729818, 2.803152609531558], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
joint_intracellular_platinum_pkpd,shared,true,A2780Naive,20k/30k,NaN,-282.3586504970134,1.1881096203788117e7,2.238184839280121,5,84,2,3,densities=20k/30k;doses=0.67/1.0/1.47,logistic_growth,exact_density_specific_untreated_family_and_parameters,trajectory_peak,fixed_nominal_day0_67_for_20k_100_for_30k,shared,false,"lumped cisplatin uptake, DNA binding/repair, and DNA-bound Hill kill",,-0.18405353310018846,eventual_extinction,"(names = [:emax, :ec50_bound, :hill_n, :k_efflux, :k_repair], values = [2.820387663083078, 4.830853722580645, 2.528743133408281, 0.6417249038776988, 0.5729950720809462], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")"
