model,parameter,environments_fit,value_mean,value_sd,value_min,value_max,observed_span,coefficient_of_variation,lower_bound,upper_bound,bound_range_fraction,minimum_boundary_margin_fraction,near_optimization_bound,stability_class
A2780Naive|logistic_growth|independent_diagnostic,K_30k,1,3950.4350613539664,0.0,3950.4350613539664,3950.4350613539664,0.0,0.0,3160.249653,12640.998612,0.0,0.08334630647548681,false,tight
A2780Naive|logistic_growth|independent_diagnostic,r_20k,1,0.931050117654666,0.0,0.931050117654666,0.931050117654666,0.0,0.0,0.0001,2.0,0.0,0.4654983337440202,false,tight
A2780Naive|logistic_growth|independent_diagnostic,r_30k,1,0.8182131723072708,0.0,0.8182131723072708,0.8182131723072708,0.0,0.0,0.0001,2.0,0.0,0.40907704000563566,false,tight
A2780Naive|logistic_growth|partial_5pct,K,1,3978.160626454801,0.0,3978.160626454801,3978.160626454801,0.0,0.0,3160.249653,12640.998612,0.0,0.08627071310419675,false,tight
A2780Naive|logistic_growth|partial_5pct,log_contrast_K,1,-0.022539017623499115,0.0,-0.022539017623499115,-0.022539017623499115,0.0,0.0,-0.04879016416943205,0.04879016416943205,0.0,0.2690208876400929,false,tight
A2780Naive|logistic_growth|partial_5pct,log_contrast_r,1,-0.03644352503472923,0.0,-0.03644352503472923,-0.03644352503472923,0.0,0.0,-0.04879016416943205,0.04879016416943205,0.0,0.1265279523535424,false,tight
A2780Naive|logistic_growth|partial_5pct,r,1,0.875275469082905,0.0,0.875275469082905,0.875275469082905,0.0,0.0,0.0001,2.0,0.0,0.43760961502220364,false,tight
A2780Naive|logistic_growth|shared,K,1,3971.3132918302044,0.0,3971.3132918302044,3971.3132918302044,0.0,0.0,3160.249653,12640.998612,0.0,0.08554847748186269,false,tight
A2780Naive|logistic_growth|shared,r,1,0.8794355581858506,0.0,0.8794355581858506,0.8794355581858506,0.0,0.0,0.0001,2.0,0.0,0.43968976358110434,false,tight
A2780Naive|logistic_simple_death|independent_diagnostic,K_20k,1,4040.412259676364,0.0,4040.412259676364,4040.412259676364,0.0,0.0,3160.249653,12640.998612,0.0,0.09283682233151345,false,tight
A2780Naive|logistic_simple_death|independent_diagnostic,K_30k,1,3978.198010341381,0.0,3978.198010341381,3978.198010341381,0.0,0.0,3160.249653,12640.998612,0.0,0.08627465624062426,false,tight
A2780Naive|logistic_simple_death|independent_diagnostic,death_rate_20k,1,0.005669316559432762,0.0,0.005669316559432762,0.005669316559432762,0.0,0.0,0.0,2.0,0.0,0.002834658279716381,true,tight
A2780Naive|logistic_simple_death|independent_diagnostic,death_rate_30k,1,0.005764783693218887,0.0,0.005764783693218887,0.005764783693218887,0.0,0.0,0.0,2.0,0.0,0.0028823918466094433,true,tight
A2780Naive|logistic_simple_death|independent_diagnostic,r_20k,1,0.936706511442599,0.0,0.936706511442599,0.936706511442599,0.0,0.0,0.0001,2.0,0.0,0.46832667205490225,false,tight
A2780Naive|logistic_simple_death|independent_diagnostic,r_30k,1,0.8239630895016893,0.0,0.8239630895016893,0.8239630895016893,0.0,0.0,0.0001,2.0,0.0,0.41195214235796257,false,tight
A2780Naive|logistic_simple_death|partial_5pct,K,1,3981.176290120571,0.0,3981.176290120571,3981.176290120571,0.0,0.0,3160.249653,12640.998612,0.0,0.08658879595596422,false,tight
A2780Naive|logistic_simple_death|partial_5pct,death_rate,1,0.0010046757938201993,0.0,0.0010046757938201993,0.0010046757938201993,0.0,0.0,0.0,2.0,0.0,0.0005023378969100996,true,tight
A2780Naive|logistic_simple_death|partial_5pct,log_contrast_K,1,-0.025100662236201665,0.0,-0.025100662236201665,-0.025100662236201665,0.0,0.0,-0.04879016416943205,0.04879016416943205,0.0,0.24276923778084253,false,tight
A2780Naive|logistic_simple_death|partial_5pct,log_contrast_r,1,-0.031708539492085394,0.0,-0.031708539492085394,-0.031708539492085394,0.0,0.0,-0.04879016416943205,0.04879016416943205,0.0,0.17505192868410774,false,tight
A2780Naive|logistic_simple_death|partial_5pct,r,1,0.877188119542429,0.0,0.877188119542429,0.877188119542429,0.0,0.0,0.0001,2.0,0.0,0.43856598807061803,false,tight
A2780Naive|logistic_simple_death|shared,K,1,3977.5598394951908,0.0,3977.5598394951908,3977.5598394951908,0.0,0.0,3160.249653,12640.998612,0.0,0.08620734395876233,false,tight
A2780Naive|logistic_simple_death|shared,death_rate,1,0.0014168593577407048,0.0,0.0014168593577407048,0.0014168593577407048,0.0,0.0,0.0,2.0,0.0,0.0007084296788703524,true,tight
A2780Naive|logistic_simple_death|shared,r,1,0.8808923852115551,0.0,0.8808923852115551,0.8808923852115551,0.0,0.0,0.0001,2.0,0.0,0.4404182135164534,false,tight
A2780Naive|theta_logistic_growth|independent_diagnostic,K_20k,1,4067.5603293421946,0.0,4067.5603293421946,4067.5603293421946,0.0,0.0,3160.249653,12640.998612,0.0,0.09570031653257645,false,tight
A2780Naive|theta_logistic_growth|independent_diagnostic,K_30k,1,4053.774097184121,0.0,4053.774097184121,4053.774097184121,0.0,0.0,3160.249653,12640.998612,0.0,0.09424618751621994,false,tight
A2780Naive|theta_logistic_growth|independent_diagnostic,r_20k,1,1.0892874331760787,0.0,1.0892874331760787,1.0892874331760787,0.0,0.0,0.0001,2.0,0.0,0.4553790523645789,false,tight
A2780Naive|theta_logistic_growth|independent_diagnostic,r_30k,1,1.131259889051006,0.0,1.131259889051006,1.131259889051006,0.0,0.0,0.0001,2.0,0.0,0.43439177506325016,false,tight
A2780Naive|theta_logistic_growth|independent_diagnostic,theta_20k,1,0.6809628301745595,0.0,0.6809628301745595,0.6809628301745595,0.0,0.0,0.1,8.0,0.0,0.07353959875627335,false,tight
A2780Naive|theta_logistic_growth|independent_diagnostic,theta_30k,1,0.5116376919013561,0.0,0.5116376919013561,0.5116376919013561,0.0,0.0,0.1,8.0,0.0,0.05210603694953875,false,tight
A2780Naive|theta_logistic_growth|partial_5pct,K,1,4097.998533593987,0.0,4097.998533593987,4097.998533593987,0.0,0.0,3160.249653,12640.998612,0.0,0.09891084392692308,false,tight
A2780Naive|theta_logistic_growth|partial_5pct,log_contrast_K,1,-0.0076558172572449845,0.0,-0.0076558172572449845,-0.0076558172572449845,0.0,0.0,-0.04879016416943205,0.04879016416943205,0.0,0.4215434361866577,false,tight
A2780Naive|theta_logistic_growth|partial_5pct,log_contrast_r,1,0.0027017394084180163,0.0,0.0027017394084180163,0.0027017394084180163,0.0,0.0,-0.04879016416943205,0.04879016416943205,0.0,0.4723126632753707,false,tight
A2780Naive|theta_logistic_growth|partial_5pct,r,1,1.2906975626191597,0.0,1.2906975626191597,1.2906975626191597,0.0,0.0,0.0001,2.0,0.0,0.35466895213802707,false,tight
A2780Naive|theta_logistic_growth|partial_5pct,theta,1,0.45860826422349654,0.0,0.45860826422349654,0.45860826422349654,0.0,0.0,0.1,8.0,0.0,0.045393451167531206,true,tight
A2780Naive|theta_logistic_growth|shared,K,1,4074.748731074681,0.0,4074.748731074681,4074.748731074681,0.0,0.0,3160.249653,12640.998612,0.0,0.09645852685578753,false,tight
