cell_line,model,pooling_mode,parameter,estimate,lower_bound,upper_bound,bound_position,identifiability
A2780cis,theta_logistic_growth,partial_5pct,log_contrast_K,-0.0006331618974403305,-0.04879016416943205,0.04879016416943205,0.49351137766987657,interior
A2780cis,theta_logistic_growth,independent_diagnostic,r_20k,0.4975936722000611,0.0001,2.0,0.24875927406373374,interior
A2780cis,theta_logistic_growth,independent_diagnostic,K_20k,3801.208222934158,3133.8628472499995,12535.451388999998,0.07098219335175668,interior
A2780cis,theta_logistic_growth,independent_diagnostic,theta_20k,3.4494208892404665,0.1,8.0,0.42397732775195773,interior
A2780cis,theta_logistic_growth,independent_diagnostic,r_30k,0.46431236172846857,0.0001,2.0,0.23211778675357198,interior
A2780cis,theta_logistic_growth,independent_diagnostic,K_30k,3792.9316625065603,3133.8628472499995,12535.451388999998,0.0701018569712776,interior
A2780cis,theta_logistic_growth,independent_diagnostic,theta_30k,3.630769757552903,0.1,8.0,0.4469328807028991,interior
A2780cis,lagged_theta_logistic_growth,shared,r,0.7413830717660111,0.0001,2.0,0.3706600688864499,interior
A2780cis,lagged_theta_logistic_growth,shared,K,3820.3074446792393,3133.8628472499995,12535.451388999998,0.07301368214328022,interior
A2780cis,lagged_theta_logistic_growth,shared,theta,1.4586336200366865,0.1,8.0,0.17197893924515018,interior
A2780cis,lagged_theta_logistic_growth,shared,lag_time,1.8205028950402544,0.0,5.0,0.3641005790080509,interior
A2780cis,lagged_theta_logistic_growth,partial_5pct,r,0.6529668921517607,0.0001,2.0,0.3264497685643086,interior
A2780cis,lagged_theta_logistic_growth,partial_5pct,K,3812.4980597627177,3133.8628472499995,12535.451388999998,0.07218303688776385,interior
A2780cis,lagged_theta_logistic_growth,partial_5pct,theta,1.8624221105104828,0.1,8.0,0.22309140639373198,interior
A2780cis,lagged_theta_logistic_growth,partial_5pct,lag_time,1.4378225186922449,0.0,5.0,0.287564503738449,interior
A2780cis,lagged_theta_logistic_growth,partial_5pct,log_contrast_r,-0.018681552634233146,-0.04879016416943205,0.04879016416943205,0.30855206215992315,interior
A2780cis,lagged_theta_logistic_growth,partial_5pct,log_contrast_K,-0.0024093127010671248,-0.04879016416943205,0.04879016416943205,0.47530944256817437,interior
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,r_20k,0.6332174367318467,0.0001,2.0,0.31657454709327804,interior
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,K_20k,3815.8595445611213,3133.8628472499995,12535.451388999998,0.07254058123077314,interior
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,theta_20k,2.0329657132082843,0.1,8.0,0.24467920420358028,interior
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,lag_time_20k,1.229138352532734,0.0,5.0,0.2458276705065468,interior
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,r_30k,0.6138404813601711,0.0001,2.0,0.30688558495933355,interior
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,K_30k,3804.2378625523106,3133.8628472499995,12535.451388999998,0.07130444098094176,interior
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,theta_30k,2.002321308899957,0.1,8.0,0.24080016568353885,interior
A2780cis,lagged_theta_logistic_growth,independent_diagnostic,lag_time_30k,1.2867680082937987,0.0,5.0,0.25735360165875976,interior
A2780cis,baranyi_theta_logistic_growth,shared,r,0.8409304462110382,0.0001,2.0,0.420436244917765,interior
A2780cis,baranyi_theta_logistic_growth,shared,K,3821.135954881842,3133.8628472499995,12535.451388999998,0.07310180663404295,interior
A2780cis,baranyi_theta_logistic_growth,shared,theta,1.2620476371285276,0.1,8.0,0.147094637611206,interior
A2780cis,baranyi_theta_logistic_growth,shared,q0,0.1742509249371738,0.0001,10.0,0.017415266646383844,poorly_identified_at_bound
A2780cis,baranyi_theta_logistic_growth,partial_5pct,r,0.7311166104756035,0.0001,2.0,0.3655265815668801,interior
A2780cis,baranyi_theta_logistic_growth,partial_5pct,K,3815.554421850511,3133.8628472499995,12535.451388999998,0.07250812685253107,interior
A2780cis,baranyi_theta_logistic_growth,partial_5pct,theta,1.6009004379595477,0.1,8.0,0.18998739721006933,interior
