cell_line,model,pooling_mode,start_index,status,bic,scaled_sse,raw_sse,params,message
A2780cis,baranyi_theta_logistic_growth,independent_diagnostic,3,completed,-172.53769875373527,0.06126778165504674,1.0674792792806965e6,"[0.8591391255798472, 3830.6630891054056, 1.2287882716100595, 0.16260763107129286, 0.7482696679937875, 3808.844729998579, 1.51689247746159, 0.2797752358195232]",
A2780cis,adaptation_theta_logistic_growth,shared,1,completed,-186.38889111889833,0.06129028493595298,1.0678708663438016e6,"[1.1457358024525712, 3819.0924902439674, 1.0619898049074, 0.24821414497430333]",
A2780cis,adaptation_theta_logistic_growth,shared,2,completed,-186.3772473599417,0.061312590534603285,1.0682601889543217e6,"[1.0997302436714358, 3818.184236827209, 1.0893297922299594, 0.2629059169652063]",
A2780cis,adaptation_theta_logistic_growth,shared,3,completed,-186.39283273704487,0.06128273593528529,1.0677392755599588e6,"[1.158841917461514, 3817.8124833215143, 1.0505286476529567, 0.24526188408398686]",
A2780cis,adaptation_theta_logistic_growth,partial_5pct,1,completed,-179.31424811317606,0.06156511815722073,1.0726691119912376e6,"[0.9154156502749058, 3822.0743303360596, 1.2436722238219404, 0.346670848039415, -0.0003452729908045571, 0.00012121762883956361]",
A2780cis,adaptation_theta_logistic_growth,partial_5pct,2,completed,-179.37752598336246,0.06144349752162102,1.0705398327853524e6,"[1.0871145893810523, 3819.507121397937, 1.1013252474768855, 0.26612339905990456, 0.0011154291547760126, 0.000366333646385511]",
A2780cis,adaptation_theta_logistic_growth,partial_5pct,3,completed,-179.41573584162623,0.061370174202373104,1.069265044673487e6,"[0.9447330434292059, 3818.710473602497, 1.2301307871730225, 0.32593147331879796, -0.001046127284298988, -0.00046331138310126]",
A2780cis,adaptation_theta_logistic_growth,independent_diagnostic,1,completed,-172.87026386298743,0.0606343437057628,1.0564535633878503e6,"[0.7079767839037804, 3822.9354414117415, 1.7053619546058865, 0.5810332897305609, 0.7525801280445157, 3807.346608021038, 1.5570657780986967, 0.4639510177323095]",
A2780cis,adaptation_theta_logistic_growth,independent_diagnostic,2,completed,-172.66141077751,0.061031377629158994,1.0633633279626907e6,"[0.948610771792292, 3832.210560185163, 1.17710127380893, 0.33665003185599973, 1.0304941721333316, 3808.863300242577, 1.192977656284514, 0.27733941450840216]",
A2780cis,adaptation_theta_logistic_growth,independent_diagnostic,3,completed,-172.4675080885078,0.0614023174739403,1.069846815262225e6,"[0.8589626481880691, 3822.6560943139666, 1.3870379332300462, 0.3811003969474952, 0.5581322798191728, 3799.646497875964, 2.4564315703304636, 1.0651418000790671]",
A2780cis,logistic_simple_death,shared,1,completed,-163.7410840100615,0.13861073898104564,2.415621444889411e6,"[0.6164296001447008, 4047.5179167556807, 0.014008031590038399]",
A2780cis,logistic_simple_death,partial_5pct,1,completed,-157.01590722932156,0.1377200285883041,2.400089517183205e6,"[0.6023605005531805, 3952.031035980376, 0.00012261584994641175, -0.0016202417458658566, -0.0018005808643651935]",
A2780cis,logistic_simple_death,independent_diagnostic,1,completed,-154.1208493011109,0.13528574340142652,2.357670006260057e6,"[0.6310723472123275, 4098.498246748447, 0.01949805951295608, 0.6022188980611037, 4018.6228319016864, 0.011025324231949442]",
A2780cis,allee_growth,shared,1,completed,-109.20736971698003,0.7619250088330308,1.3279173729665764e7,"[0.000637291348785834, 3133.8628472508794, 0.29921865145267434]",
A2780cis,allee_growth,partial_5pct,1,completed,-66.52656162256694,2.328582276304092,4.0636162602941856e7,"[0.6909525822629162, 3133.894410918541, 65.82606138146532, -0.0016125084506186382, -0.0013531196423625033]",
A2780cis,allee_growth,independent_diagnostic,1,completed,-112.16809893824288,0.5019058780492883,8.747888764650231e6,"[0.5381838382216803, 3378.7738591127118, 65.28534819710205, 0.6123423469603313, 3144.276134025814, 97.00137980438129]",
