cell_line,model,pooling_mode,density,parameter,center_value,effective_value,deviation_percent,parameter_scope
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,20k,K,4067.8313326049256,4102.6812640387225,0.8567201681757064,partial_5pct
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,30k,K,4067.8313326049256,4033.277431411544,-0.8494428202177717,partial_5pct
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,20k,theta,0.3078701226100252,0.3078701226100252,0.0,partial_5pct
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,30k,theta,0.3078701226100252,0.3078701226100252,0.0,partial_5pct
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,20k,q0,0.3917239510595033,0.3917239510595033,0.0,partial_5pct
A2780Naive,baranyi_theta_logistic_growth,partial_5pct,30k,q0,0.3917239510595033,0.3917239510595033,0.0,partial_5pct
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,20k,r,1.0292669664535026,0.9754260631062032,-5.23099498012809,independent_diagnostic
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,30k,r,1.0292669664535026,1.086079743306029,5.519731877559764,independent_diagnostic
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,20k,K,4028.7797892223934,4029.3432853296495,0.013986768618212686,independent_diagnostic
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,30k,K,4028.7797892223934,4028.2163719190125,-0.01398481259482498,independent_diagnostic
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,20k,theta,0.7212368284825746,0.9125832335278342,26.530315353950694,independent_diagnostic
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,30k,theta,0.7212368284825746,0.570011089014531,-20.967556494059046,independent_diagnostic
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,20k,q0,9.139936241435986,9.992106485254846,9.323590682783301,independent_diagnostic
A2780Naive,baranyi_theta_logistic_growth,independent_diagnostic,30k,q0,9.139936241435986,8.360442777585588,-8.528434370434201,independent_diagnostic
A2780Naive,adaptation_theta_logistic_growth,shared,20k,r,1.9999960979739335,1.9999960979739335,0.0,shared_across_densities
A2780Naive,adaptation_theta_logistic_growth,shared,30k,r,1.9999960979739335,1.9999960979739335,0.0,shared_across_densities
A2780Naive,adaptation_theta_logistic_growth,shared,20k,K,4055.707690919714,4055.707690919714,0.0,shared_across_densities
A2780Naive,adaptation_theta_logistic_growth,shared,30k,K,4055.707690919714,4055.707690919714,0.0,shared_across_densities
A2780Naive,adaptation_theta_logistic_growth,shared,20k,theta,0.30937323182434995,0.30937323182434995,0.0,shared_across_densities
A2780Naive,adaptation_theta_logistic_growth,shared,30k,theta,0.30937323182434995,0.30937323182434995,0.0,shared_across_densities
A2780Naive,adaptation_theta_logistic_growth,shared,20k,adaptation_rate,1.4438324223473193,1.4438324223473193,0.0,shared_across_densities
A2780Naive,adaptation_theta_logistic_growth,shared,30k,adaptation_rate,1.4438324223473193,1.4438324223473193,0.0,shared_across_densities
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,20k,r,1.9995104960351373,2.090403476454323,4.545761605123788,partial_5pct
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,30k,r,1.9995104960351373,1.9125696396831657,-4.348107025412872,partial_5pct
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,20k,K,4063.1012208542434,4105.939171214122,1.0543165929514542,partial_5pct
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,30k,K,4063.1012208542434,4020.7102059979147,-1.0433167315338499,partial_5pct
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,20k,theta,0.30775028462009957,0.30775028462009957,0.0,partial_5pct
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,30k,theta,0.30775028462009957,0.30775028462009957,0.0,partial_5pct
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,20k,adaptation_rate,1.4617139829722596,1.4617139829722596,0.0,partial_5pct
A2780Naive,adaptation_theta_logistic_growth,partial_5pct,30k,adaptation_rate,1.4617139829722596,1.4617139829722596,0.0,partial_5pct
