time,observed,predicted,cell_line,density,dose,ic_label,timing_hypothesis
1.0,117.62118066666666,113.26222791294738,A2780cis,30k,1.0,IC50,partial_onset_0_5day
2.0,206.52970666666667,158.9127901608487,A2780cis,30k,1.0,IC50,partial_onset_0_5day
3.0,392.79753066666666,261.84495419441834,A2780cis,30k,1.0,IC50,partial_onset_0_5day
4.0,793.1631946666666,466.0760437233214,A2780cis,30k,1.0,IC50,partial_onset_0_5day
5.0,1328.3501159999998,836.3669091680079,A2780cis,30k,1.0,IC50,partial_onset_0_5day
6.0,1947.6582176666668,1405.60602218897,A2780cis,30k,1.0,IC50,partial_onset_0_5day
7.0,2594.510609333334,2067.8668777400467,A2780cis,30k,1.0,IC50,partial_onset_0_5day
8.0,2352.0106483333334,2611.0613002414048,A2780cis,30k,1.0,IC50,partial_onset_0_5day
9.0,3220.0850306666666,2932.9697901078484,A2780cis,30k,1.0,IC50,partial_onset_0_5day
10.0,2953.806751666667,3083.6336521111452,A2780cis,30k,1.0,IC50,partial_onset_0_5day
11.0,3595.1114196666663,3143.5113913591813,A2780cis,30k,1.0,IC50,partial_onset_0_5day
12.0,2534.660455333333,3162.590554835369,A2780cis,30k,1.0,IC50,partial_onset_0_5day
13.0,3853.449228666667,3163.3458734968694,A2780cis,30k,1.0,IC50,partial_onset_0_5day
14.0,4116.669907333334,3154.500704102655,A2780cis,30k,1.0,IC50,partial_onset_0_5day
0.0,100.0,100.0,A2780cis,30k,1.47,IC75,partial_onset_0_5day
1.0,73.88472200000001,113.26222791294738,A2780cis,30k,1.47,IC75,partial_onset_0_5day
2.0,143.64463766666665,158.9127901608487,A2780cis,30k,1.47,IC75,partial_onset_0_5day
3.0,301.875849,261.35199729066125,A2780cis,30k,1.47,IC75,partial_onset_0_5day
4.0,670.1066746666667,454.66364854692023,A2780cis,30k,1.47,IC75,partial_onset_0_5day
5.0,1170.9108796666667,783.1839056260213,A2780cis,30k,1.47,IC75,partial_onset_0_5day
6.0,1348.3380016666667,1262.6930632263413,A2780cis,30k,1.47,IC75,partial_onset_0_5day
7.0,1881.759761,1815.3958256993394,A2780cis,30k,1.47,IC75,partial_onset_0_5day
8.0,1606.1887733333333,2292.884013261033,A2780cis,30k,1.47,IC75,partial_onset_0_5day
9.0,2421.258526333333,2606.039900783552,A2780cis,30k,1.47,IC75,partial_onset_0_5day
10.0,1957.2380400000002,2769.448064785741,A2780cis,30k,1.47,IC75,partial_onset_0_5day
11.0,2537.103395,2835.614523334842,A2780cis,30k,1.47,IC75,partial_onset_0_5day
12.0,2244.322531,2846.5603634557024,A2780cis,30k,1.47,IC75,partial_onset_0_5day
13.0,2827.4429400000004,2827.1556523008394,A2780cis,30k,1.47,IC75,partial_onset_0_5day
14.0,3433.938387333333,2791.2465898024498,A2780cis,30k,1.47,IC75,partial_onset_0_5day
0.0,67.0,67.0,A2780Naive,20k,0.67,IC25,cis_gradual_only
