time,observed,predicted,model,cell_line,density,dose
10.0,351.6421293333333,473.99454951983057,simeoni_transit_compartment,A2780Naive,30k,1.47
11.0,239.04888100000002,393.6367550496143,simeoni_transit_compartment,A2780Naive,30k,1.47
12.0,153.48256166666667,324.5606125995854,simeoni_transit_compartment,A2780Naive,30k,1.47
13.0,115.12735333333332,265.9957272263152,simeoni_transit_compartment,A2780Naive,30k,1.47
14.0,60.396604999999994,216.87982705739216,simeoni_transit_compartment,A2780Naive,30k,1.47
1.0,683.0949846666667,683.0949846666667,time_decay_kill_fixed,A2780Naive,30k,1.47
2.0,962.59946,651.8402749867673,time_decay_kill_fixed,A2780Naive,30k,1.47
3.0,1293.4153163333333,625.5403264664172,time_decay_kill_fixed,A2780Naive,30k,1.47
4.0,1242.3761956666667,603.1776325358524,time_decay_kill_fixed,A2780Naive,30k,1.47
5.0,1196.6721066666667,583.9935040989948,time_decay_kill_fixed,A2780Naive,30k,1.47
6.0,1151.6981093333334,567.4106402389333,time_decay_kill_fixed,A2780Naive,30k,1.47
7.0,908.6366510000001,552.9819256693622,time_decay_kill_fixed,A2780Naive,30k,1.47
8.0,684.2957563333333,540.3556553551298,time_decay_kill_fixed,A2780Naive,30k,1.47
9.0,451.471335,529.2513527878868,time_decay_kill_fixed,A2780Naive,30k,1.47
10.0,351.6421293333333,519.4425901945071,time_decay_kill_fixed,A2780Naive,30k,1.47
11.0,239.04888100000002,510.74455023830427,time_decay_kill_fixed,A2780Naive,30k,1.47
12.0,153.48256166666667,503.00489757024195,time_decay_kill_fixed,A2780Naive,30k,1.47
13.0,115.12735333333332,496.0969511655262,time_decay_kill_fixed,A2780Naive,30k,1.47
14.0,60.396604999999994,489.91447404069766,time_decay_kill_fixed,A2780Naive,30k,1.47
1.0,683.0949846666667,683.0949846666667,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
2.0,962.59946,651.8403180018494,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
3.0,1293.4153163333333,625.5404042579821,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
4.0,1242.3761956666667,603.1777390002152,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
5.0,1196.6721066666667,583.993634609734,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
6.0,1151.6981093333334,567.4107912166451,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
7.0,908.6366510000001,552.9820942957067,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
8.0,684.2957563333333,540.3558393741392,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
9.0,451.471335,529.2515503668636,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
10.0,351.6421293333333,519.4427998229295,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
11.0,239.04888100000002,510.7447706570489,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
12.0,153.48256166666667,503.00512771760503,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
13.0,115.12735333333332,496.0971901368224,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
14.0,60.396604999999994,489.91472105500424,time_decay_kill_dose_scaled,A2780Naive,30k,1.47
1.0,277.1990353333333,277.1990353333333,simeoni_transit_compartment,A2780Naive,30k,1.0
2.0,512.5472606666666,418.273538673816,simeoni_transit_compartment,A2780Naive,30k,1.0
3.0,810.4685956666666,575.6447085090847,simeoni_transit_compartment,A2780Naive,30k,1.0
4.0,1072.5972223333333,767.0095518318708,simeoni_transit_compartment,A2780Naive,30k,1.0
5.0,1220.3375386666667,984.2255122755864,simeoni_transit_compartment,A2780Naive,30k,1.0
6.0,1524.2378856666667,1212.122731740853,simeoni_transit_compartment,A2780Naive,30k,1.0
7.0,1784.3173613333336,1432.3100177688045,simeoni_transit_compartment,A2780Naive,30k,1.0
8.0,1754.768094,1628.743660560055,simeoni_transit_compartment,A2780Naive,30k,1.0
9.0,1630.9435183333335,1791.9033940630704,simeoni_transit_compartment,A2780Naive,30k,1.0
10.0,1765.6959490000002,1919.5711653429971,simeoni_transit_compartment,A2780Naive,30k,1.0
11.0,1797.057716,2014.878475944247,simeoni_transit_compartment,A2780Naive,30k,1.0
12.0,1664.883989,2083.5585612630643,simeoni_transit_compartment,A2780Naive,30k,1.0
13.0,1869.5183256666667,2131.8004479671426,simeoni_transit_compartment,A2780Naive,30k,1.0
14.0,2521.7536263333336,2165.0803521813705,simeoni_transit_compartment,A2780Naive,30k,1.0
1.0,277.1990353333333,277.1990353333333,time_decay_kill_fixed,A2780Naive,30k,1.0
2.0,512.5472606666666,400.2995566690843,time_decay_kill_fixed,A2780Naive,30k,1.0
3.0,810.4685956666666,562.0927759831641,time_decay_kill_fixed,A2780Naive,30k,1.0
4.0,1072.5972223333333,761.6172143273595,time_decay_kill_fixed,A2780Naive,30k,1.0
5.0,1220.3375386666667,989.2115126236403,time_decay_kill_fixed,A2780Naive,30k,1.0
6.0,1524.2378856666667,1226.8388202227243,time_decay_kill_fixed,A2780Naive,30k,1.0
7.0,1784.3173613333336,1453.0856008351698,time_decay_kill_fixed,A2780Naive,30k,1.0
8.0,1754.768094,1650.3532808380603,time_decay_kill_fixed,A2780Naive,30k,1.0
9.0,1630.9435183333335,1809.5843285858714,time_decay_kill_fixed,A2780Naive,30k,1.0
10.0,1765.6959490000002,1930.2988436535525,time_decay_kill_fixed,A2780Naive,30k,1.0
11.0,1797.057716,2017.5328140181612,time_decay_kill_fixed,A2780Naive,30k,1.0
12.0,1664.883989,2078.4131252302313,time_decay_kill_fixed,A2780Naive,30k,1.0
13.0,1869.5183256666667,2119.8751598209233,time_decay_kill_fixed,A2780Naive,30k,1.0
14.0,2521.7536263333336,2147.644479967788,time_decay_kill_fixed,A2780Naive,30k,1.0
1.0,277.1990353333333,277.1990353333333,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
2.0,512.5472606666666,400.2995277735763,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
3.0,810.4685956666666,562.0926990632242,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
4.0,1072.5972223333333,761.6170695793214,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
5.0,1220.3375386666667,989.2112866749119,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
6.0,1524.2378856666667,1226.8385128990453,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
7.0,1784.3173613333336,1453.0852263194529,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
8.0,1754.768094,1650.3528617984919,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
9.0,1630.9435183333335,1809.583887759535,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
10.0,1765.6959490000002,1930.298398107183,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
11.0,1797.057716,2017.5323737943459,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
12.0,1664.883989,2078.412694726587,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
13.0,1869.5183256666667,2119.8747398845426,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
14.0,2521.7536263333336,2147.6440696219597,time_decay_kill_dose_scaled,A2780Naive,30k,1.0
1.0,507.5015816666667,507.5015816666667,simeoni_transit_compartment,A2780Naive,30k,0.67
2.0,801.887693,862.9744972742128,simeoni_transit_compartment,A2780Naive,30k,0.67
3.0,1336.278318,1255.6100963092786,simeoni_transit_compartment,A2780Naive,30k,0.67
4.0,1623.1049383333336,1677.5428743504256,simeoni_transit_compartment,A2780Naive,30k,0.67
5.0,2076.8491126666668,2091.8865031287264,simeoni_transit_compartment,A2780Naive,30k,0.67
6.0,2482.367592666667,2458.1038435929036,simeoni_transit_compartment,A2780Naive,30k,0.67
7.0,2895.899845666667,2751.8371262048827,simeoni_transit_compartment,A2780Naive,30k,0.67
8.0,2949.133024666667,2969.5173500529518,simeoni_transit_compartment,A2780Naive,30k,0.67
9.0,3220.295872,3121.488257600571,simeoni_transit_compartment,A2780Naive,30k,0.67
10.0,2758.7708333333335,3223.1110057610585,simeoni_transit_compartment,A2780Naive,30k,0.67
11.0,3434.9652003333335,3289.0300616591203,simeoni_transit_compartment,A2780Naive,30k,0.67
12.0,3115.501775,3330.8876005321167,simeoni_transit_compartment,A2780Naive,30k,0.67
13.0,3633.6489583333337,3357.0722359922993,simeoni_transit_compartment,A2780Naive,30k,0.67
14.0,3423.783179,3373.281118431118,simeoni_transit_compartment,A2780Naive,30k,0.67
1.0,507.5015816666667,507.5015816666667,time_decay_kill_fixed,A2780Naive,30k,0.67
2.0,801.887693,801.9473525826844,time_decay_kill_fixed,A2780Naive,30k,0.67
3.0,1336.278318,1195.7719401013665,time_decay_kill_fixed,A2780Naive,30k,0.67
4.0,1623.1049383333336,1653.5933551118248,time_decay_kill_fixed,A2780Naive,30k,0.67
5.0,2076.8491126666668,2106.730572451015,time_decay_kill_fixed,A2780Naive,30k,0.67
6.0,2482.367592666667,2490.7686575631956,time_decay_kill_fixed,A2780Naive,30k,0.67
7.0,2895.899845666667,2778.4147783089265,time_decay_kill_fixed,A2780Naive,30k,0.67
8.0,2949.133024666667,2977.8551560244505,time_decay_kill_fixed,A2780Naive,30k,0.67
9.0,3220.295872,3112.260586463213,time_decay_kill_fixed,A2780Naive,30k,0.67
10.0,2758.7708333333335,3204.1881428945703,time_decay_kill_fixed,A2780Naive,30k,0.67
11.0,3434.9652003333335,3270.0947577078914,time_decay_kill_fixed,A2780Naive,30k,0.67
12.0,3115.501775,3320.4639046900897,time_decay_kill_fixed,A2780Naive,30k,0.67
13.0,3633.6489583333337,3361.5128953225485,time_decay_kill_fixed,A2780Naive,30k,0.67
14.0,3423.783179,3396.7904763859906,time_decay_kill_fixed,A2780Naive,30k,0.67
1.0,507.5015816666667,507.5015816666667,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
2.0,801.887693,801.9473158031117,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
3.0,1336.278318,1195.7718647632848,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
4.0,1623.1049383333336,1653.5932635852266,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
5.0,2076.8491126666668,2106.730506423185,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
6.0,2482.367592666667,2490.7686551726442,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
7.0,2895.899845666667,2778.4148576394764,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
8.0,2949.133024666667,2977.8553171441777,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
9.0,3220.295872,3112.2608208493048,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
10.0,2758.7708333333335,3204.1884403816293,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
11.0,3434.9652003333335,3270.0951091667566,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
12.0,3115.501775,3320.4643024963502,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
13.0,3633.6489583333337,3361.513333091492,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
14.0,3423.783179,3396.7909486272774,time_decay_kill_dose_scaled,A2780Naive,30k,0.67
1.0,66.07534733333334,66.07534733333334,simeoni_transit_compartment,A2780cis,20k,1.47
2.0,136.019406,112.52714447170224,simeoni_transit_compartment,A2780cis,20k,1.47
3.0,262.4119983333333,187.99621627059267,simeoni_transit_compartment,A2780cis,20k,1.47
4.0,627.1851849999999,309.404020343069,simeoni_transit_compartment,A2780cis,20k,1.47
5.0,1055.7064813333334,497.3351667941485,simeoni_transit_compartment,A2780cis,20k,1.47
6.0,1644.4327546666666,771.549027348972,simeoni_transit_compartment,A2780cis,20k,1.47
7.0,1888.7926696666666,1139.0241209246697,simeoni_transit_compartment,A2780cis,20k,1.47
8.0,1640.846373333333,1579.1059668913358,simeoni_transit_compartment,A2780cis,20k,1.47
9.0,2390.4506556666665,2040.4001423144648,simeoni_transit_compartment,A2780cis,20k,1.47
10.0,1885.2126543333334,2461.088303103456,simeoni_transit_compartment,A2780cis,20k,1.47
11.0,2693.7878856666666,2798.7464881347623,simeoni_transit_compartment,A2780cis,20k,1.47
12.0,2554.914467666667,3043.0485673496228,simeoni_transit_compartment,A2780cis,20k,1.47
13.0,3229.3090276666667,3206.8459876769966,simeoni_transit_compartment,A2780cis,20k,1.47
14.0,3171.784760666667,3311.1345666845923,simeoni_transit_compartment,A2780cis,20k,1.47
1.0,66.07534733333334,66.07534733333334,time_decay_kill_fixed,A2780cis,20k,1.47
2.0,136.019406,111.74896421052594,time_decay_kill_fixed,A2780cis,20k,1.47
3.0,262.4119983333333,187.24780925153158,time_decay_kill_fixed,A2780cis,20k,1.47
4.0,627.1851849999999,309.03521802329317,time_decay_kill_fixed,A2780cis,20k,1.47
5.0,1055.7064813333334,497.9521390390817,time_decay_kill_fixed,A2780cis,20k,1.47
6.0,1644.4327546666666,773.9180861185852,time_decay_kill_fixed,A2780cis,20k,1.47
7.0,1888.7926696666666,1143.6144072129048,time_decay_kill_fixed,A2780cis,20k,1.47
8.0,1640.846373333333,1585.3647753106704,time_decay_kill_fixed,A2780cis,20k,1.47
9.0,2390.4506556666665,2046.4704230968323,time_decay_kill_fixed,A2780cis,20k,1.47
10.0,1885.2126543333334,2464.605081768063,time_decay_kill_fixed,A2780cis,20k,1.47
11.0,2693.7878856666666,2798.0845728329596,time_decay_kill_fixed,A2780cis,20k,1.47
12.0,2554.914467666667,3037.8494866257192,time_decay_kill_fixed,A2780cis,20k,1.47
13.0,3229.3090276666667,3197.679178376124,time_decay_kill_fixed,A2780cis,20k,1.47
14.0,3171.784760666667,3298.921148419214,time_decay_kill_fixed,A2780cis,20k,1.47
1.0,66.07534733333334,66.07534733333334,time_decay_kill_dose_scaled,A2780cis,20k,1.47
2.0,136.019406,111.74895616737504,time_decay_kill_dose_scaled,A2780cis,20k,1.47
3.0,262.4119983333333,187.24778266866832,time_decay_kill_dose_scaled,A2780cis,20k,1.47
4.0,627.1851849999999,309.0351538335508,time_decay_kill_dose_scaled,A2780cis,20k,1.47
5.0,1055.7064813333334,497.9520068994426,time_decay_kill_dose_scaled,A2780cis,20k,1.47
6.0,1644.4327546666666,773.9178466655632,time_decay_kill_dose_scaled,A2780cis,20k,1.47
7.0,1888.7926696666666,1143.6140255221574,time_decay_kill_dose_scaled,A2780cis,20k,1.47
8.0,1640.846373333333,1585.3642444679235,time_decay_kill_dose_scaled,A2780cis,20k,1.47
9.0,2390.4506556666665,2046.4697786830031,time_decay_kill_dose_scaled,A2780cis,20k,1.47
10.0,1885.2126543333334,2464.6043867534395,time_decay_kill_dose_scaled,A2780cis,20k,1.47
11.0,2693.7878856666666,2798.0838847256305,time_decay_kill_dose_scaled,A2780cis,20k,1.47
12.0,2554.914467666667,3037.848837339065,time_decay_kill_dose_scaled,A2780cis,20k,1.47
13.0,3229.3090276666667,3197.67857552441,time_decay_kill_dose_scaled,A2780cis,20k,1.47
14.0,3171.784760666667,3298.920586731541,time_decay_kill_dose_scaled,A2780cis,20k,1.47
1.0,82.57476866666666,82.57476866666666,simeoni_transit_compartment,A2780cis,20k,1.0
2.0,153.74926733333334,146.65519007627174,simeoni_transit_compartment,A2780cis,20k,1.0
3.0,298.6227236666667,257.01636610033006,simeoni_transit_compartment,A2780cis,20k,1.0
