time,observed,pred_one_stage_transit_linear_kill,pred_hill_death_instantaneous,pred_transit_hill_combined,pred_theta_logistic_hill_kill,pred_transit_chain_erlang
4.0,1013.55787,NaN,NaN,NaN,NaN,NaN
4.0,1122.079167,NaN,NaN,NaN,NaN,NaN
4.0,736.653241,NaN,NaN,NaN,NaN,NaN
4.0,740.470255,NaN,NaN,NaN,NaN,NaN
4.0,595.005671,NaN,NaN,NaN,NaN,NaN
4.0,898.265162,NaN,NaN,NaN,NaN,NaN
4.0,958.459028,NaN,NaN,NaN,NaN,NaN
4.0,786.121412,NaN,NaN,NaN,NaN,NaN
4.0,1102.200347,NaN,NaN,NaN,NaN,NaN
4.0,1422.760069,NaN,NaN,NaN,NaN,NaN
4.0,1202.168171,NaN,NaN,NaN,NaN,NaN
4.0,1217.91169,NaN,NaN,NaN,NaN,NaN
4.0,1204.067477,NaN,NaN,NaN,NaN,NaN
4.0,795.8125,NaN,NaN,NaN,NaN,NaN
4.0,1430.525116,NaN,NaN,NaN,NaN,NaN
4.0,1614.884375,NaN,NaN,NaN,NaN,NaN
4.0,1823.905324,NaN,NaN,NaN,NaN,NaN
4.0,627.185185,NaN,NaN,NaN,NaN,NaN
4.0,584.29375,NaN,NaN,NaN,NaN,NaN
4.0,551.487654,NaN,NaN,NaN,NaN,NaN
4.0,670.106675,NaN,NaN,NaN,NaN,NaN
4.0,793.163195,NaN,NaN,NaN,NaN,NaN
4.0,731.650772,NaN,NaN,NaN,NaN,NaN
4.0,626.767014,NaN,NaN,NaN,NaN,NaN
4.0,647.353472,NaN,NaN,NaN,NaN,NaN
4.0,607.435069,NaN,NaN,NaN,NaN,NaN
4.0,590.218981,NaN,NaN,NaN,NaN,NaN
4.0,589.375231,NaN,NaN,NaN,NaN,NaN
4.0,573.287037,NaN,NaN,NaN,NaN,NaN
4.0,480.306597,NaN,NaN,NaN,NaN,NaN
4.0,541.917477,NaN,NaN,NaN,NaN,NaN
4.0,632.238889,NaN,NaN,NaN,NaN,NaN
4.0,776.012616,NaN,NaN,NaN,NaN,NaN
4.0,635.321181,NaN,NaN,NaN,NaN,NaN
4.0,598.986227,NaN,NaN,NaN,NaN,NaN
4.0,784.825116,NaN,NaN,NaN,NaN,NaN
4.0,722.133681,NaN,NaN,NaN,NaN,NaN
4.0,872.530787,NaN,NaN,NaN,NaN,NaN
4.0,650.693866,NaN,NaN,NaN,NaN,NaN
