time,observed,predicted,fixed_day0_anchor,model,pooling_mode,cell_line,density,dose,ic_label,effect_level,growth_family,joint_group
10.0,232.34174399999998,313.44098728306284,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
11.0,155.3204476666667,260.30411913895546,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
12.0,103.907562,218.26449731188174,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
13.0,71.52523133333334,184.47434148302415,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
14.0,36.60995366666666,156.93987025185316,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,20k,1.47,IC75,0.75,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
0.0,100.0,100.0,true,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
1.0,507.5015816666667,226.14045963198987,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
2.0,801.887693,491.2140727119489,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
3.0,1336.278318,982.5898017942699,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
4.0,1623.1049383333336,1620.7299523388738,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
5.0,2076.8491126666668,2217.0874823679737,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
6.0,2482.367592666667,2654.1971761352625,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
7.0,2895.899845666667,2921.9314806404336,false,joint_ic_effect_hill_ramp_onset,partial_5pct,A2780Naive,30k,0.67,IC25,0.25,logistic_growth,densities=20k/30k;doses=0.67/1.0/1.47
