time,observed,prediction,best_model,cell_line,density,dose
13.0,3537.7463733333334,3356.2784559452302,one_stage_transit_linear_kill,A2780Naive,20k,1.47
14.0,3458.3808643333336,3555.7459077289795,one_stage_transit_linear_kill,A2780Naive,20k,1.47
1.0,683.0949846666667,683.0949846666667,one_stage_transit_linear_kill,A2780Naive,30k,0.67
2.0,962.59946,1163.0755818832595,one_stage_transit_linear_kill,A2780Naive,30k,0.67
3.0,1293.4153163333333,1303.8158618916732,one_stage_transit_linear_kill,A2780Naive,30k,0.67
4.0,1242.3761956666667,1262.712477564055,one_stage_transit_linear_kill,A2780Naive,30k,0.67
5.0,1196.6721066666667,1134.1053540977798,one_stage_transit_linear_kill,A2780Naive,30k,0.67
6.0,1151.6981093333334,972.7016940093549,one_stage_transit_linear_kill,A2780Naive,30k,0.67
7.0,908.6366510000001,808.6907381179876,one_stage_transit_linear_kill,A2780Naive,30k,0.67
8.0,684.2957563333333,657.406691907837,one_stage_transit_linear_kill,A2780Naive,30k,0.67
9.0,451.471335,525.4362431612604,one_stage_transit_linear_kill,A2780Naive,30k,0.67
10.0,351.6421293333333,414.42400861572867,one_stage_transit_linear_kill,A2780Naive,30k,0.67
11.0,239.04888100000002,323.40013995218897,one_stage_transit_linear_kill,A2780Naive,30k,0.67
12.0,153.48256166666667,250.16908417615295,one_stage_transit_linear_kill,A2780Naive,30k,0.67
13.0,115.12735333333332,192.10959324618142,one_stage_transit_linear_kill,A2780Naive,30k,0.67
14.0,60.396604999999994,146.61159220050695,one_stage_transit_linear_kill,A2780Naive,30k,0.67
1.0,277.1990353333333,277.1990353333333,adaptive_ic50_hill,A2780Naive,30k,1.0
2.0,512.5472606666666,494.22557206497214,adaptive_ic50_hill,A2780Naive,30k,1.0
3.0,810.4685956666666,785.5517995351091,adaptive_ic50_hill,A2780Naive,30k,1.0
4.0,1072.5972223333333,1089.906925539579,adaptive_ic50_hill,A2780Naive,30k,1.0
5.0,1220.3375386666667,1335.1938612592926,adaptive_ic50_hill,A2780Naive,30k,1.0
6.0,1524.2378856666667,1495.6243773601952,adaptive_ic50_hill,A2780Naive,30k,1.0
7.0,1784.3173613333336,1588.9806808626818,adaptive_ic50_hill,A2780Naive,30k,1.0
8.0,1754.768094,1644.588533735686,adaptive_ic50_hill,A2780Naive,30k,1.0
9.0,1630.9435183333335,1686.9713534736202,adaptive_ic50_hill,A2780Naive,30k,1.0
10.0,1765.6959490000002,1734.7950510713044,adaptive_ic50_hill,A2780Naive,30k,1.0
11.0,1797.057716,1803.9711910605636,adaptive_ic50_hill,A2780Naive,30k,1.0
12.0,1664.883989,1909.8008698742271,adaptive_ic50_hill,A2780Naive,30k,1.0
13.0,1869.5183256666667,2066.6409895816987,adaptive_ic50_hill,A2780Naive,30k,1.0
14.0,2521.7536263333336,2284.46738272604,adaptive_ic50_hill,A2780Naive,30k,1.0
1.0,507.5015816666667,507.5015816666667,anchored_linear_kill,A2780Naive,30k,1.47
2.0,801.887693,828.7157066214227,anchored_linear_kill,A2780Naive,30k,1.47
3.0,1336.278318,1259.689947003519,anchored_linear_kill,A2780Naive,30k,1.47
4.0,1623.1049383333336,1752.2705727835303,anchored_linear_kill,A2780Naive,30k,1.47
5.0,2076.8491126666668,2221.91821485862,anchored_linear_kill,A2780Naive,30k,1.47
6.0,2482.367592666667,2598.3629300628027,anchored_linear_kill,A2780Naive,30k,1.47
7.0,2895.899845666667,2860.3120651035565,anchored_linear_kill,A2780Naive,30k,1.47
8.0,2949.133024666667,3025.1649826482662,anchored_linear_kill,A2780Naive,30k,1.47
9.0,3220.295872,3122.4414835353364,anchored_linear_kill,A2780Naive,30k,1.47
10.0,2758.7708333333335,3177.674491888476,anchored_linear_kill,A2780Naive,30k,1.47
11.0,3434.9652003333335,3208.351766155142,anchored_linear_kill,A2780Naive,30k,1.47
12.0,3115.501775,3225.1820726328147,anchored_linear_kill,A2780Naive,30k,1.47
13.0,3633.6489583333337,3234.3533097924687,anchored_linear_kill,A2780Naive,30k,1.47
14.0,3423.783179,3239.3325105476115,anchored_linear_kill,A2780Naive,30k,1.47
1.0,66.07534733333334,66.07534733333334,one_stage_transit_linear_kill,A2780cis,20k,0.67
2.0,136.019406,177.07073111667668,one_stage_transit_linear_kill,A2780cis,20k,0.67
3.0,262.4119983333333,388.5312840859509,one_stage_transit_linear_kill,A2780cis,20k,0.67
4.0,627.1851849999999,707.8531840107016,one_stage_transit_linear_kill,A2780cis,20k,0.67
5.0,1055.7064813333334,1071.4802542141254,one_stage_transit_linear_kill,A2780cis,20k,0.67
6.0,1644.4327546666666,1406.1656604876553,one_stage_transit_linear_kill,A2780cis,20k,0.67
7.0,1888.7926696666666,1692.6903555536628,one_stage_transit_linear_kill,A2780cis,20k,0.67
8.0,1640.846373333333,1942.9438262268686,one_stage_transit_linear_kill,A2780cis,20k,0.67
9.0,2390.4506556666665,2169.8280100637976,one_stage_transit_linear_kill,A2780cis,20k,0.67
10.0,1885.2126543333334,2380.739478148423,one_stage_transit_linear_kill,A2780cis,20k,0.67
11.0,2693.7878856666666,2579.317939935311,one_stage_transit_linear_kill,A2780cis,20k,0.67
12.0,2554.914467666667,2767.3759188932763,one_stage_transit_linear_kill,A2780cis,20k,0.67
13.0,3229.3090276666667,2945.923888196107,one_stage_transit_linear_kill,A2780cis,20k,0.67
