Image,Cells µm^2,Confluency %,Perimeter µm,Unnamed: 4
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-0_C3.tif,3726.118055555556,84.63820983,52097.5,69.46126754
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-0_C6.tif,3562.140972222222,80.9134951,50310.5,64.69341806
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_A3.tif,3332.251388888889,75.69158788,51031.8,75.38698017
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_A6.tif,3135.4375,71.22099007,46904.5,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_B3.tif,4047.0486111111113,91.92809901,53395.0,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_B6.tif,3080.8840277777776,69.98181617,60083.2,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_C3.tif,2296.9243055555557,52.17428928,58888.1,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_C6.tif,3382.46875,76.83226766,12154.4,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_A3.tif,4197.957638888889,95.35597482,48122.4,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_A6.tif,2917.735416666667,66.27592007,22134.8,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_B3.tif,4360.293750000001,99.04341511,53234.2,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_B6.tif,3142.2159722222223,71.37496204,51438.7,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_C3.tif,4200.684027777777,95.41790433,64074.0,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_C6.tif,3969.593055555556,90.16870774,39106.5,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_A3.tif,3739.8479166666666,84.95008155,59701.9,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_A6.tif,3046.2166666666667,69.19435229,40920.5,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_B3.tif,3156.54375,71.70041535,61306.8,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_B6.tif,2729.376388888889,61.99737315,43729.0,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C3.tif,3622.05,82.27431963,60302.3,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C6.tif,3197.5534722222224,72.63194501,45426.3,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-4_A3.tif,3849.5777777777776,87.4425788,52959.6,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-4_A6.tif,3334.117361111111,75.73397316,55830.7,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-4_B3.tif,3926.165277777778,89.18225232,61319.6,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-4_B6.tif,2723.2902777777776,61.85912806,47449.4,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-4_C3.tif,3573.3611111111118,81.16835886,53904.3,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-4_C6.tif,3410.483333333333,77.4686147,52889.9,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-5_A3.tif,3412.708333333333,77.51915524,51117.2,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-5_A6.tif,2718.1277777777777,61.74186265,63576.0,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-5_B3.tif,3816.61875,86.69391945,57580.7,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-5_B6.tif,2580.657638888889,58.61924917,60942.6,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-5_C3.tif,3066.9465277777776,69.66522796,53696.6,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-5_C6.tif,2390.8083333333334,54.30685082,51420.2,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-0_A3.tif,3365.663888888889,76.45054778,31809.4,81.96659915
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-0_A6.tif,1174.3895833333331,26.67608232,39968.7,77.69504021
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-0_B3.tif,3629.3416666666662,82.43994874,56254.7,71.15258262
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-0_B6.tif,2015.457638888889,45.78081639,48993.1,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-0_C3.tif,3109.524305555556,70.63237576,36020.6,59.98731143
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-0_C6.tif,1586.101388888889,36.0280539,45303.9,62.87051197
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-1_A3.tif,3423.401388888889,77.76204638,56829.5,59.59266459
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-1_A6.tif,3075.2326388888887,69.85344572,36436.1,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-1_B3.tif,3523.663888888889,80.03949396,46006.8,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-1_B6.tif,2903.9777777777776,65.96341737,61093.4,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-1_C3.tif,2709.458333333333,61.54493752,52251.1,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-1_C6.tif,2511.442361111111,57.04703457,22948.6,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-2_A3.tif,4290.752083333334,97.46378663,26077.2,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-2_A6.tif,2663.545833333333,60.50204201,9176.6,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-2_B3.tif,4107.183333333333,93.29405016,55620.1,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-2_B6.tif,3238.5604166666667,73.56341157,47489.2,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-2_C3.tif,3124.3576388888887,70.96931269,26784.3,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-2_C6.tif,3037.20625,68.98968203,37540.1,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-3_A3.tif,3702.1409722222224,84.09357399,56663.0,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-3_A6.tif,2803.110416666667,63.67223048,56884.9,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-3_B3.tif,3384.7951388888887,76.88511124,56406.9,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-3_B6.tif,2584.0979166666666,58.69739456,47304.3,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-3_C3.tif,3311.061111111111,75.21025391,34888.1,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-3_C6.tif,2236.765277777778,50.80778604,35642.2,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-4_A3.tif,3570.873611111111,81.11185568,58104.2,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-4_A6.tif,3018.110416666667,68.55592306,30753.7,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-4_B3.tif,3096.6375,70.33965392,46325.4,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-4_B6.tif,3052.4819444444447,69.33666713,33616.2,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-4_C3.tif,3739.1875,84.93508029,17372.9,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-4_C6.tif,3245.367361111111,73.71803029,53274.1,
25-75_co-cultureA2780_15and20_Day14_TX RED_Tile-5_A3.tif,3298.1854166666667,74.91778446,35830.0,
