Image,Area µm^2,Confluency %,Perimeter µm,Unnamed: 4
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_B5.tif,4155.604861111111,94.39393786,20268.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C2.tif,3910.4041666666662,88.82424105,29473.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C5.tif,4297.991666666667,97.62823268,10572.3,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_A2.tif,3964.926388888889,90.06270511,33617.6,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_A5.tif,4173.354861111111,94.79712643,20747.6,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_B2.tif,4127.069444444444,93.74576017,18624.9,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_B5.tif,3581.3770833333333,81.35044047,42669.0,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_C2.tif,4169.689583333334,94.7138702,19034.7,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_C5.tif,4004.1513888888894,90.95369507,27932.4,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_A2.tif,3571.157638888889,81.11830733,43825.7,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_A5.tif,4170.195138888888,94.72535382,21821.8,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_B2.tif,3756.413888888889,85.32637511,35484.3,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_B5.tif,3603.140277777778,81.84478815,39721.1,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_C2.tif,3882.8006944444446,88.19723234,35410.3,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-5_C5.tif,3720.601388888889,84.51289957,44939.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_A2.tif,4045.59375,91.89505206,28143.0,89.63305532
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_A5.tif,3982.8097222222223,90.46892233,28235.5,91.97476172
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_B2.tif,3997.7347222222224,90.80794146,32618.9,86.36194088
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_B5.tif,3196.734722222222,72.61334723,67700.5,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_C2.tif,3990.242361111111,90.6377536,29796.2,86.81790467
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-0_C5.tif,4241.670138888889,96.34889767,15408.1,86.16856758
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_A2.tif,3440.6666666666665,78.15422457,47052.5,89.06153236
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_A5.tif,3840.1388888888887,87.22817586,35112.9,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_B2.tif,3957.2798611111116,89.88901539,31958.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_B5.tif,3706.428472222222,84.19096391,44535.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_C2.tif,3488.420833333333,79.23895326,52793.2,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-1_C5.tif,3461.6604166666666,78.63109443,38977.1,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_A2.tif,4192.861805555555,95.24022373,17836.7,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_A5.tif,3580.495138888889,81.33040723,41034.3,
50-50_co-cultureA2780_15and20_Day14_TX RED_Tile-2_B2.tif,4204.486805555555,95.50428386,19448.7,
