source_group,source_file,density,mix_label,cell_line,model,parameter_name,parameter_value,sse,aic,bic,loss
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,50-50,,competing_coculture,rs,1.1139275,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,50-50,,competing_coculture,α,0.86417402,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,50-50,,competing_coculture,β,0.80721479,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option1_params.csv,30k,50-50,,option1_alpha_beta,αrs,0.69494299,,,197.48913,17282.021
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option1_params.csv,30k,50-50,,option1_alpha_beta,αsr,0.999998,,,197.48913,17282.021
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,50-50,,option2_alpha_beta_gamma_delta,αrs,0.00016966456,,,165.77624,4786.6159
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,50-50,,option2_alpha_beta_gamma_delta,αsr,0.0016931116,,,165.77624,4786.6159
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,50-50,,option2_alpha_beta_gamma_delta,γ,0.76351075,,,165.77624,4786.6159
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,30k,50-50,,option2_alpha_beta_gamma_delta,δ,0.64055516,,,165.77624,4786.6159
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,30k,75-25,,competing_coculture,k,296345.84,,,1987.2966,1e+30
