density,cell_line,model,title,params,sse,bic,aic
30k,A2780cis,sensitive_resistant,sensitive_resistant,"rS_scale=0.9887, rR_scale=0.6806, kS_max=1.1451, kR_max=1.4572, n=3.8551, K50S=2.6853, K50R=91.7293, S0_frac=0.7419",1878.0974190147947,198.36414182896533,183.91084191080276
30k,A2780cis,biexponential,biexponential,"w=0.0, lambda1=3.8205, lambda2=0.0",61096.86691928144,336.02988939641085,330.6099019270999
30k,A2780cis,theta_hill_inhibition_dde,theta_hill_inhibition_dde,"Emax=1.0, n=2.0682, IC50=2.4976, tau=0.0356",1985.6199403857095,185.64272847986126,178.41607852078
30k,A2780cis,Model3_parpi,Model3_parpi,"alpha=0.1933, beta=0.2841, gamma=0.4936, d=2.7194",3333.5276936408236,208.95722545593802,201.73057549685674
30k,A2780cis,adaptive_ic50,adaptive_ic50,"Emax=0.9247, n=2.828, IC50_0=1.2868, a=0.4998, b=0.7156",1938.0367574311492,188.35788456209858,179.32457211324697
30k,A2780cis,lag_hill_inhibition,lag_hill_inhibition,"Emax=0.377, n=4.0929, IC50=1.4016, t_lag=0.4084, m=6.4833",1889.3063219297724,187.21192609540955,178.17861364655795
30k,A2780cis,Model2_parpi,Model2_parpi,"alpha=0.4836, beta=0.0, d=1.9156",3334.8113175298304,205.1678875429842,199.74790007367324
30k,A2780cis,theta_hill_kill_dde,theta_hill_kill_dde,"kmax=3.0524, n=1.9989, K50=5.8138, tau=1.5677",1796.3570929328687,181.13506043486083,173.90841047577956
30k,A2780cis,Model1_parpi,Model1_parpi,"alpha=0.0942, beta=0.4915, d=3.9904",3297.920877003071,204.6673134528116,199.24732598350064
30k,A2780cis,Model4_parpi,Model4_parpi,"alpha=0.0896, phi=0.0019, d=3.9901",3298.5412612425052,204.67577777513222,199.25579030582125
